dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Mon,Y,92.3,1,0,2,2023-08-14,0,Matchweek 1,0.0,0,CB,0,1,0,Premier League,1,,1,0,39,0,36,Home,31,45,W 1–0,0,41,5,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Wolves,,2,0
Sat,Y,89.5,0,0,1,2023-08-19,0,Matchweek 2,0.0,0,CB,1,0,0,Premier League,3,,0,0,38,0,34,Away,29,90,L 0–2,0,53,10,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Tottenham,,1,0
Sat,Y,89.5,1,0,3,2023-08-26,0,Matchweek 3,0.0,0,CB,0,1,0,Premier League,1,,0,0,86,0,77,Home,70,90,W 3–2,0,93,6,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Nott'ham Forest,,1,1
Sun,Y,95.2,0,0,0,2023-09-03,0,Matchweek 4,0.0,0,CB,3,0,0,Premier League,1,,1,0,42,0,40,Away,31,66,L 1–3,0,48,2,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Arsenal,,0,0
Sat,Y,95.1,0,0,0,2023-09-16,0,Matchweek 5,0.0,0,CB,0,0,0,Premier League,1,,0,0,61,0,58,Home,45,84,L 1–3,1,64,3,1,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Brighton,,2,1
Sun,N,93.3,1,0,0,2024-01-14,0,Matchweek 21,0.0,0,CB,0,0,0,Premier League,0,,0,0,15,0,14,Home,10,28,D 2–2,0,16,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Tottenham,,0,0
Thu,Y,95.4,0,0,0,2024-02-01,0,Matchweek 22,0.0,0,CB,2,0,0,Premier League,2,,1,0,65,0,62,Away,56,85,W 4–3,0,76,1,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Wolves,,1,2
Sun,Y,91.8,0,0,2,2024-02-04,0,Matchweek 23,0.0,0,CB,3,0,0,Premier League,2,,0,0,49,0,45,Home,39,70,W 3–0,0,59,1,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,West Ham,,0,0
Sat,N,80.0,0,0,0,2024-03-30,0,Matchweek 30,0.0,0,CB,0,0,0,Premier League,0,,0,0,10,0,8,Away,3,22,D 1–1,0,13,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Brentford,,0,0
Wed,N,50.0,0,0,0,2024-05-15,0,Matchweek 34,0.0,0,CB,0,0,0,Premier League,0,,0,0,2,0,1,Home,0,8,W 3–2,0,3,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Newcastle Utd,,0,0
Sun,Y,92.3,1,0,0,2024-05-19,0,Matchweek 38,0.0,0,CB,1,0,0,Premier League,1,,0,0,39,0,36,Away,24,58,W 2–0,0,44,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",0.0,Brighton,,0,1
