dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Mon,N,75.0,1,0,3,2023-08-14,0,Matchweek 1,0.0,1,LB,1,1,0,Premier League,1,,0,0,20,0,15,Away,16,14,L 0–1,0,22,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.1,Manchester Utd,,3,0
Sat,N,100.0,0,0,0,2023-08-19,0,Matchweek 2,0.1,2,LB,0,0,0,Premier League,0,,0,0,6,0,6,Home,6,5,L 1–4,0,9,0,0,0.1,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Brighton,,1,0
Sat,Y,82.0,2,0,3,2023-08-26,0,Matchweek 3,0.0,0,LB,1,0,0,Premier League,1,,0,0,50,0,41,Away,35,84,W 1–0,0,59,2,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Everton,,3,0
Sun,N,93.8,0,0,0,2023-09-03,0,Matchweek 4,0.0,0,LB,0,0,0,Premier League,0,,0,0,16,0,15,Away,6,9,L 2–3,0,16,1,1,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Crystal Palace,,1,0
Sat,N,69.2,0,0,1,2023-09-16,0,Matchweek 5,0.0,0,LB,0,0,0,Premier League,1,,0,0,13,0,9,Home,11,26,L 1–3,0,17,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Liverpool,,0,1
Sat,N,50.0,0,0,0,2023-09-23,0,Matchweek 6,0.0,0,LB,0,0,0,Premier League,0,,0,0,4,0,2,Away,3,7,D 1–1,0,8,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Luton Town,,0,0
Sat,N,,,,,2023-11-11,,Matchweek 12,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Tottenham,,,
Mon,N,,,,,2023-11-27,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 2–3,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Fulham,,,
Sat,Y,80.6,3,0,0,2023-12-02,0,Matchweek 14,0.0,0,WB,1,1,0,Premier League,6,,0,0,31,0,25,Away,23,61,L 1–2,0,44,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.3,Arsenal,,2,1
Tue,Y,75.8,5,0,2,2023-12-05,0,Matchweek 15,0.0,0,LM,2,2,0,Premier League,3,,0,0,33,0,25,Home,23,89,W 1–0,0,48,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Burnley,,1,0
Sat,Y,73.3,4,0,1,2023-12-09,0,Matchweek 16,0.1,1,LM,4,1,0,Premier League,0,,0,0,45,0,33,Home,28,68,D 1–1,0,61,1,0,0.1,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Nott'ham Forest,,0,0
Sun,N,,,,,2023-12-17,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–3,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,West Ham,,,
Sun,N,66.7,0,0,0,2023-12-24,0,Matchweek 18,0.0,0,WB,0,0,0,Premier League,1,,1,0,3,0,2,Home,2,4,W 2–1,0,4,1,1,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Chelsea,,1,0
Wed,N,100.0,2,0,1,2023-12-27,0,Matchweek 19,0.0,0,WB,0,1,0,Premier League,0,,0,0,6,0,6,Away,6,11,W 4–1,0,10,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.1,Brentford,,1,0
Sat,N,58.8,1,0,0,2023-12-30,0,Matchweek 20,0.0,0,WB,0,0,0,Premier League,2,,0,0,17,0,10,Home,9,18,W 3–0,0,20,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Everton,,0,0
Mon,N,,,,,2024-01-22,,Matchweek 21,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 0–0,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Brighton,,,
Thu,N,,,,,2024-02-01,,Matchweek 22,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 3–4,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Manchester Utd,,,
Sun,N,83.3,0,0,0,2024-02-04,0,Matchweek 23,0.0,0,WB,0,0,0,Premier League,2,,0,0,6,0,5,Away,5,4,W 4–2,0,8,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Chelsea,,1,1
Sat,N,,,,,2024-02-10,,Matchweek 24,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–2,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Brentford,,,
Sat,N,,,,,2024-02-17,,Matchweek 25,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 2–1,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Tottenham,,,
Sun,N,,,,,2024-02-25,,Matchweek 26,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Sheffield Utd,,,
Sat,N,84.0,1,0,1,2024-03-02,0,Matchweek 27,0.0,0,CB,0,0,0,Premier League,0,,0,0,25,0,21,Away,16,32,L 0–3,0,30,1,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Newcastle Utd,,1,1
Sat,N,,,,,2024-03-09,,Matchweek 28,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",,Fulham,,,
Sat,N,90.0,0,0,3,2024-03-30,0,Matchweek 30,0.0,0,WB,0,0,0,Premier League,0,,0,0,10,0,9,Away,8,27,L 0–2,0,11,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.1,Aston Villa,,1,0
Tue,Y,72.2,1,0,1,2024-04-02,0,Matchweek 31,0.0,0,LB,2,1,0,Premier League,2,,0,0,36,0,26,Away,28,67,D 1–1,0,46,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,Burnley,,0,1
Sat,N,70.0,0,0,1,2024-04-06,0,Matchweek 32,0.0,0,WB,0,0,0,Premier League,0,,0,0,10,0,7,Home,5,4,L 1–2,0,10,0,0,0.0,"<a href=""/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats"">Wolves</a>",0.0,West Ham,,0,0
