dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,88.2,0,0,0,2023-08-19,0,Matchweek 2,0.0,0,CM,2,0,0,Premier League,1,,0,0,17,0,15,Home,10,28,W 3–1,0,25,2,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Bournemouth,,1,1
Sun,Y,87.5,0,0,0,2023-08-27,0,Matchweek 3,0.0,0,CM,1,0,0,Premier League,2,,0,0,32,0,28,Away,17,57,W 2–1,0,36,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Newcastle Utd,,1,0
Sun,N,85.7,0,0,0,2023-09-03,0,Matchweek 4,0.0,0,CM,0,0,0,Premier League,0,,0,0,7,0,6,Home,6,4,W 3–0,0,7,0,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Aston Villa,,0,0
Sat,N,,,,,2023-09-16,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",,Wolves,,,
Sun,N,100.0,0,0,0,2023-09-24,0,Matchweek 6,0.0,0,CM,0,0,0,Premier League,0,,0,0,4,0,4,Home,3,3,W 3–1,0,4,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,West Ham,,0,0
Sat,N,50.0,0,0,0,2023-09-30,0,Matchweek 7,0.0,0,CM,0,0,0,Premier League,0,,0,0,8,0,4,Away,5,18,L 1–2,0,9,1,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Tottenham,,1,0
Sun,N,,,,,2023-10-08,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",,Brighton,,,
Sat,N,,,,,2023-10-21,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",,Everton,,,
Sun,N,100.0,0,0,0,2023-10-29,0,Matchweek 10,0.0,0,FW,0,0,0,Premier League,0,,0,0,3,0,3,Home,4,11,W 3–0,0,6,0,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Nott'ham Forest,,0,0
Sun,N,,,,,2023-11-05,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",,Luton Town,,,
Sun,Y,86.0,0,0,2,2023-11-12,0,Matchweek 12,0.0,0,CM,0,0,0,Premier League,1,,0,0,57,0,49,Home,49,90,W 3–0,0,65,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Brentford,,1,0
Sat,N,100.0,0,0,0,2023-11-25,0,Matchweek 13,0.0,0,CM,0,0,0,Premier League,0,,1,0,4,0,4,Away,3,6,D 1–1,0,5,0,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Manchester City,,0,0
Sun,N,75.0,0,1,0,2023-12-03,1,Matchweek 14,0.1,2,DM,0,0,0,Premier League,0,,0,0,8,0,6,Home,5,8,W 4–3,0,12,0,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Fulham,,1,0
Wed,Y,79.7,0,0,1,2023-12-06,0,Matchweek 15,0.0,0,CM,0,0,0,Premier League,2,,1,0,69,0,55,Away,52,90,W 2–0,0,80,6,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Sheffield Utd,,1,1
Sat,Y,92.9,0,0,0,2023-12-09,0,Matchweek 16,0.0,0,CM,0,0,0,Premier League,1,,0,0,42,0,39,Away,36,45,W 2–1,0,45,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Crystal Palace,,0,0
Sun,Y,87.3,2,0,1,2023-12-17,0,Matchweek 17,0.0,1,CM,3,1,0,Premier League,4,,1,0,63,0,55,Home,40,90,D 0–0,0,76,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Manchester Utd,,4,1
Sat,Y,87.8,0,0,0,2023-12-23,0,Matchweek 18,0.0,0,CM,0,0,0,Premier League,3,,1,0,49,0,43,Home,31,90,D 1–1,0,57,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Arsenal,,3,2
Tue,Y,84.0,0,1,0,2023-12-26,0,Matchweek 19,0.0,1,CM,2,0,0,Premier League,1,,0,0,75,0,63,Away,36,90,W 2–0,0,86,6,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Burnley,,3,1
Mon,Y,90.1,1,0,0,2024-01-01,0,Matchweek 20,0.1,2,CM,1,0,0,Premier League,1,,1,0,71,0,64,Home,48,74,W 4–2,0,80,3,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.3,Newcastle Utd,,5,3
Sat,Y,88.2,1,0,0,2024-02-10,0,Matchweek 24,0.0,1,CM,2,0,0,Premier League,4,,1,0,68,0,60,Home,52,89,W 3–1,0,79,7,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.6,Burnley,,5,0
Sat,Y,86.3,0,0,2,2024-02-17,0,Matchweek 25,0.0,1,CM,0,0,0,Premier League,1,,1,0,80,0,69,Away,57,90,W 4–1,0,88,2,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Brentford,,0,1
Wed,Y,92.6,1,0,0,2024-02-21,0,Matchweek 26,0.0,0,CM,3,1,0,Premier League,3,,0,0,54,0,50,Home,35,90,W 4–1,0,64,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.7,Luton Town,,6,0
Sat,N,80.8,1,0,0,2024-03-02,0,Matchweek 27,0.0,0,CM,1,0,0,Premier League,2,,0,0,26,0,21,Away,14,31,W 1–0,0,34,2,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Nott'ham Forest,,2,0
Sun,Y,95.2,0,0,0,2024-03-10,0,Matchweek 28,0.0,0,CM,1,0,0,Premier League,4,,0,0,62,0,59,Home,44,90,D 1–1,0,71,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Manchester City,,1,2
Sun,Y,92.8,1,0,0,2024-03-31,0,Matchweek 30,0.0,0,CM,1,1,0,Premier League,2,,1,0,69,0,64,Home,50,90,W 2–1,0,78,3,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Brighton,,4,2
Sun,Y,79.1,1,0,1,2024-04-07,0,Matchweek 32,0.0,0,CM,0,1,0,Premier League,2,,0,0,43,0,34,Away,27,68,D 2–2,0,48,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Manchester Utd,,3,1
Sun,Y,79.2,2,0,1,2024-04-14,0,Matchweek 33,0.1,1,CM,3,1,0,Premier League,2,,0,0,53,0,42,Home,39,45,L 0–1,0,63,2,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Crystal Palace,,0,0
Sun,Y,90.8,2,0,1,2024-04-21,0,Matchweek 34,0.0,0,CM,1,2,0,Premier League,1,,0,0,76,0,69,Away,46,90,W 3–1,0,84,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Fulham,,0,1
Wed,N,93.3,0,0,0,2024-04-24,0,Matchweek 29,0.0,0,RM,0,0,0,Premier League,1,,0,0,30,0,28,Away,25,28,L 0–2,0,36,5,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Everton,,1,1
Sat,Y,87.7,1,0,0,2024-04-27,0,Matchweek 35,0.0,0,CM,0,1,0,Premier League,2,,1,0,73,0,64,Away,57,78,D 2–2,0,82,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,West Ham,,2,2
Sun,Y,90.9,1,0,0,2024-05-05,0,Matchweek 36,0.0,0,CM,3,1,0,Premier League,1,,0,0,44,0,40,Home,27,64,W 4–2,0,49,5,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Tottenham,,4,0
Mon,Y,90.9,1,0,1,2024-05-13,0,Matchweek 37,0.0,0,CM,0,1,0,Premier League,4,,0,0,55,0,50,Away,28,75,D 3–3,0,64,7,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Aston Villa,,0,1
Sun,Y,94.5,1,1,0,2024-05-19,0,Matchweek 38,0.0,1,CM,0,0,0,Premier League,3,,1,0,73,0,69,Home,44,90,W 2–0,0,81,6,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Wolves,,5,0
