dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,89.7,1,0,0,2023-08-13,0,Matchweek 1,0.0,0,"CM,LM",1,1,0,Premier League,2,,0,0,68,0,61,Home,57,90,D 1–1,0,77,3,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Liverpool,,0,3
Sun,Y,91.4,1,1,0,2023-08-20,0,Matchweek 2,0.1,2,"CM,AM",0,1,0,Premier League,3,,0,0,58,0,53,Away,45,74,L 1–3,0,69,4,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,West Ham,,2,2
Fri,Y,95.2,2,1,2,2023-08-25,0,Matchweek 3,0.1,1,"CM,RM",1,1,0,Premier League,3,,0,0,63,0,60,Home,44,90,W 3–0,0,76,5,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.2,Luton Town,,3,3
Sat,Y,86.0,0,0,1,2023-09-02,0,Matchweek 4,0.1,1,CM,0,0,0,Premier League,4,,1,0,57,0,49,Home,48,61,L 0–1,0,65,6,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Nott'ham Forest,,4,0
Sun,Y*,91.4,1,1,4,2023-09-17,0,Matchweek 5,0.2,1,DM,1,0,0,Premier League,0,,0,0,70,0,64,Away,64,90,D 0–0,0,82,17,0,0.2,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Bournemouth,,4,2
Sun,Y*,81.5,4,0,2,2023-09-24,0,Matchweek 6,0.0,1,DM,2,2,0,Premier League,3,,0,0,54,0,44,Home,49,90,L 0–1,0,64,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Aston Villa,,1,2
Mon,Y*,84.8,2,0,5,2023-10-02,0,Matchweek 7,0.1,1,"RM,RW",2,1,0,Premier League,6,,0,0,46,0,39,Away,38,90,W 2–0,0,58,7,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Fulham,,3,1
Sat,Y*,85.4,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,RM,2,0,0,Premier League,4,,0,0,41,0,35,Away,27,90,W 4–1,1,55,2,1,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.3,Burnley,,1,2
Sat,Y*,86.1,1,0,1,2023-10-21,0,Matchweek 9,0.1,1,AM,1,1,0,Premier League,2,,0,0,36,0,31,Home,26,90,D 2–2,1,45,2,1,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Arsenal,,4,1
Sat,Y*,84.4,4,1,3,2023-10-28,0,Matchweek 10,0.0,1,DM,1,4,0,Premier League,1,,0,0,90,0,76,Home,65,90,L 0–2,0,97,5,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Brentford,,8,1
Mon,Y,90.9,3,0,1,2023-11-06,0,Matchweek 11,0.0,0,"AM,DM",0,1,0,Premier League,3,,0,0,44,0,40,Away,29,90,W 4–1,1,53,6,1,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.5,Tottenham,,5,2
Sun,Y,95.2,1,2,0,2023-11-12,0,Matchweek 12,0.1,3,"AM,DM",3,1,0,Premier League,3,,0,0,42,0,40,Home,28,90,D 4–4,1,59,5,2,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Manchester City,,4,0
Sat,Y,84.2,0,0,2,2023-11-25,0,Matchweek 13,0.1,2,AM,2,0,0,Premier League,3,,0,0,19,0,16,Away,14,68,L 1–4,0,30,2,0,0.1,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Newcastle Utd,,1,0
Sun,Y*,83.3,1,0,0,2023-12-03,0,Matchweek 14,0.0,0,AM,1,1,0,Premier League,2,,2,0,24,1,20,Home,11,44,W 3–2,0,29,3,2,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Brighton,,2,0
Sun,Y,90.4,1,0,2,2023-12-10,0,Matchweek 16,0.0,1,"AM,DM",3,1,0,Premier League,5,,0,0,94,0,85,Away,59,90,L 0–2,0,109,8,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Everton,,7,0
