dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,,0,0,0,2023-08-26,0,Matchweek 3,0.0,0,CB,1,0,0,Premier League,0,,0,0,0,0,0,Away,0,2,D 2–2,0,5,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Arsenal,,0,0
Mon,N,0.0,0,0,0,2023-11-27,0,Matchweek 13,0.0,0,LW,0,0,0,Premier League,0,,0,0,4,0,0,Home,1,1,W 3–2,0,5,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Wolves,,0,0
Sun,N,,,,,2023-12-03,,Matchweek 14,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 3–4,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",,Liverpool,,,
Wed,Y,87.1,1,0,0,2023-12-06,0,Matchweek 15,0.0,0,CB,0,0,0,Premier League,1,,0,0,85,0,74,Home,54,90,W 5–0,0,89,6,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Nott'ham Forest,,0,1
Sun,Y,90.1,0,1,1,2023-12-10,1,Matchweek 16,0.0,1,CB,0,0,0,Premier League,0,,0,0,111,0,100,Home,81,90,W 5–0,0,122,4,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,West Ham,,0,2
Sat,Y,60.0,1,0,1,2023-12-16,0,Matchweek 17,0.0,0,CB,2,1,0,Premier League,4,,0,0,30,0,18,Away,19,90,L 0–3,0,42,2,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Newcastle Utd,,0,1
Sat,Y,92.0,0,0,1,2023-12-23,0,Matchweek 18,0.0,1,CB,1,0,0,Premier League,1,,0,0,112,0,103,Home,73,90,L 0–2,0,122,7,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.1,Burnley,,0,3
Tue,Y,85.2,1,0,0,2023-12-26,0,Matchweek 19,0.0,0,CB,3,0,0,Premier League,1,,0,0,54,0,46,Away,27,90,L 0–3,0,66,3,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Bournemouth,,0,1
Sun,Y,87.0,0,0,1,2023-12-31,0,Matchweek 20,0.0,1,CB,0,0,0,Premier League,1,,0,0,46,0,40,Home,38,90,W 2–1,0,57,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Arsenal,,0,1
Sat,Y,71.4,0,0,0,2024-01-13,0,Matchweek 21,0.0,1,CB,3,0,0,Premier League,1,,0,0,49,0,35,Away,34,90,L 0–1,0,67,1,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Chelsea,,2,3
Tue,Y,84.4,0,1,0,2024-01-30,0,Matchweek 22,0.1,1,CB,0,0,0,Premier League,0,,0,0,64,0,54,Home,37,90,D 0–0,0,74,2,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Everton,,2,2
Sat,Y,80.9,0,1,0,2024-02-03,0,Matchweek 23,0.2,2,CB,1,0,0,Premier League,0,,0,0,89,0,72,Away,69,90,D 2–2,0,99,4,0,0.2,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Burnley,,2,2
Sat,N,,,,,2024-02-17,,Matchweek 25,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",,Aston Villa,,,
Sat,Y,91.5,0,0,0,2024-02-24,0,Matchweek 26,0.0,1,CB,0,0,0,Premier League,0,,1,0,59,0,54,Away,40,90,W 2–1,0,63,2,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Manchester Utd,,0,1
Sat,Y,71.1,0,0,0,2024-03-02,0,Matchweek 27,0.0,1,CB,0,0,0,Premier League,5,,0,0,38,0,27,Home,23,90,W 3–0,0,51,2,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Brighton,,0,0
Sat,Y,89.9,0,0,1,2024-03-09,0,Matchweek 28,0.2,1,CB,0,0,0,Premier League,2,,0,0,89,0,80,Away,67,90,L 1–2,0,94,5,0,0.2,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Wolves,,1,1
Sat,Y,75.0,0,0,0,2024-03-16,0,Matchweek 29,0.0,0,CB,1,0,0,Premier League,0,,0,0,48,0,36,Home,32,90,W 3–0,0,52,1,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Tottenham,,0,0
Sat,Y,92.1,0,0,1,2024-03-30,0,Matchweek 30,0.0,2,CB,1,0,0,Premier League,0,,0,0,76,0,70,Away,47,84,D 3–3,0,80,6,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Sheffield Utd,,0,0
Tue,Y,87.4,0,2,3,2024-04-02,1,Matchweek 31,0.1,2,CB,1,0,0,Premier League,1,,0,0,95,0,83,Away,67,90,L 1–3,0,100,11,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Nott'ham Forest,,2,0
Sat,Y,83.6,0,0,1,2024-04-06,0,Matchweek 32,0.0,0,CB,1,0,0,Premier League,2,,0,0,61,0,51,Home,47,90,L 0–1,0,69,4,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Newcastle Utd,,0,5
Sun,Y,87.0,0,0,0,2024-04-14,0,Matchweek 33,0.0,0,CB,0,0,0,Premier League,1,,0,0,46,0,40,Away,28,90,W 2–0,0,59,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,West Ham,,1,0
