dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,87.8,0,0,0,2023-08-12,0,Matchweek 1,0.0,0,CB,1,0,0,Premier League,0,,0,0,49,0,43,Home,43,90,W 5–1,0,57,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Aston Villa,,0,2
Sat,Y,88.1,0,0,0,2023-08-19,0,Matchweek 2,0.0,0,CB,2,0,0,Premier League,2,,0,0,67,0,59,Away,59,90,L 0–1,0,80,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester City,,0,0
Sun,Y,89.6,0,0,0,2023-08-27,0,Matchweek 3,0.1,1,CB,0,0,0,Premier League,0,,0,0,96,0,86,Home,72,90,L 1–2,0,98,3,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Liverpool,,2,0
Sat,Y,83.1,0,1,0,2023-09-02,0,Matchweek 4,0.0,1,CB,2,0,0,Premier League,4,,1,0,71,0,59,Away,58,90,L 1–3,0,83,5,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brighton,,0,1
Sat,Y,75.9,1,0,0,2023-09-16,0,Matchweek 5,0.0,1,CB,2,0,0,Premier League,1,,0,0,54,0,41,Home,25,90,W 1–0,0,65,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brentford,,2,1
Sun,Y,88.4,2,0,1,2023-09-24,0,Matchweek 6,0.0,1,CB,1,2,0,Premier League,1,,0,0,69,0,61,Away,53,90,W 8–0,0,77,4,1,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Sheffield Utd,,2,1
Sat,Y,82.6,0,0,0,2023-09-30,0,Matchweek 7,0.3,1,CB,0,0,0,Premier League,1,,0,0,86,0,71,Home,41,90,W 2–0,0,93,5,0,0.3,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Burnley,,0,0
Sun,Y,85.7,1,0,0,2023-10-08,0,Matchweek 8,0.0,0,CB,0,0,0,Premier League,1,,0,0,70,0,60,Away,52,90,D 2–2,0,82,3,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,West Ham,,0,1
Sat,Y,91.7,1,0,1,2023-10-21,0,Matchweek 9,0.0,0,CB,2,1,0,Premier League,0,,0,0,84,0,77,Home,72,90,W 4–0,0,90,6,2,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Crystal Palace,,3,2
Sat,Y,91.3,0,0,1,2023-10-28,0,Matchweek 10,0.1,2,CB,0,0,0,Premier League,4,,0,0,92,0,84,Away,74,90,D 2–2,0,103,3,2,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Wolves,,4,2
Sat,Y,78.8,0,0,0,2023-11-04,0,Matchweek 11,0.0,1,CB,0,0,0,Premier League,0,,1,0,52,0,41,Home,41,90,W 1–0,0,60,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Arsenal,,1,0
Sat,Y,68.9,0,0,2,2023-11-11,0,Matchweek 12,0.0,1,CB,0,0,0,Premier League,3,,0,0,45,0,31,Away,30,90,L 0–2,0,57,3,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Bournemouth,,0,1
Sat,Y,92.7,2,1,2,2023-11-25,0,Matchweek 13,0.0,1,CB,0,2,0,Premier League,2,,0,0,55,0,51,Home,32,90,W 4–1,0,62,5,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Chelsea,,2,1
Sat,Y,83.6,1,0,1,2023-12-02,0,Matchweek 14,0.2,4,CB,1,1,0,Premier League,0,,0,0,61,0,51,Home,45,90,W 1–0,0,70,9,0,0.2,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester Utd,,5,1
Thu,Y,81.0,2,0,2,2023-12-07,0,Matchweek 15,0.0,1,CB,4,1,0,Premier League,1,,0,0,84,0,68,Away,60,90,L 0–3,0,103,4,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Everton,,0,0
Sun,Y,84.4,1,0,0,2023-12-10,0,Matchweek 16,0.0,0,CB,1,1,0,Premier League,2,,0,0,45,0,38,Away,25,90,L 1–4,0,57,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Tottenham,,0,2
Sat,Y,81.8,0,0,0,2023-12-16,0,Matchweek 17,0.0,1,CB,0,0,0,Premier League,0,,0,0,11,0,9,Home,10,13,W 3–0,0,13,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Fulham,,1,0
Sat,Y,88.0,1,0,2,2023-12-23,0,Matchweek 18,0.0,1,CB,0,1,0,Premier League,1,,0,0,75,0,66,Away,66,90,L 0–1,0,81,5,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Luton Town,,3,0
Tue,Y,90.0,2,0,3,2023-12-26,0,Matchweek 19,0.1,1,CB,0,1,0,Premier League,1,,1,0,80,0,72,Home,68,90,L 1–3,0,87,13,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.3,Nott'ham Forest,,3,2
Mon,Y,70.5,1,0,0,2024-01-01,0,Matchweek 20,0.0,0,CB,5,0,0,Premier League,1,,0,0,44,0,31,Away,22,90,L 2–4,0,63,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Liverpool,,1,1
Sat,Y,71.8,1,1,0,2024-01-13,0,Matchweek 21,0.1,1,CB,7,0,0,Premier League,1,,0,0,39,0,28,Home,30,90,L 2–3,0,57,0,1,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester City,,2,1
Tue,Y,77.3,0,2,0,2024-01-30,2,Matchweek 22,1.0,3,CB,4,0,0,Premier League,0,,0,0,44,0,34,Away,23,90,W 3–1,0,60,2,0,1.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Aston Villa,,0,1
Sat,Y,66.7,1,0,1,2024-02-03,0,Matchweek 23,0.1,3,CB,2,0,0,Premier League,3,,0,0,51,0,34,Home,35,90,D 4–4,0,62,5,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Luton Town,,1,2
Sat,Y,88.2,1,2,2,2024-02-10,1,Matchweek 24,0.1,2,CB,1,0,0,Premier League,0,,0,0,93,0,82,Away,75,90,W 3–2,0,105,8,1,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Nott'ham Forest,,2,0
Sat,Y,84.1,0,1,0,2024-02-17,0,Matchweek 25,0.1,2,CB,1,0,0,Premier League,0,,1,0,63,0,53,Home,38,90,D 2–2,0,68,2,2,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Bournemouth,,3,0
Sat,Y,82.2,0,0,0,2024-02-24,0,Matchweek 26,0.0,0,CB,2,0,0,Premier League,0,,0,0,73,0,60,Away,48,90,L 1–4,0,80,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Arsenal,,0,2
Sat,Y,71.6,0,0,0,2024-03-02,0,Matchweek 27,0.0,0,CB,2,0,0,Premier League,0,,0,0,74,0,53,Home,31,90,W 3–0,1,82,4,2,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.2,Wolves,,3,1
Mon,Y,84.7,0,0,0,2024-03-11,0,Matchweek 28,0.0,1,CB,0,0,0,Premier League,1,,0,0,72,0,61,Away,43,90,L 2–3,0,76,3,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Chelsea,,0,0
Sat,Y,76.3,0,0,2,2024-03-30,0,Matchweek 30,0.0,0,CB,1,0,0,Premier League,1,,0,0,59,0,45,Home,42,90,W 4–3,0,68,4,1,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,West Ham,,2,2
Tue,Y,82.8,1,0,3,2024-04-02,0,Matchweek 31,0.0,1,CB,1,1,0,Premier League,2,,0,0,58,0,48,Home,38,90,D 1–1,0,69,7,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Everton,,1,1
Sat,Y,70.0,0,0,2,2024-04-06,0,Matchweek 32,0.0,0,CB,2,0,0,Premier League,3,,0,0,30,0,21,Away,13,90,W 1–0,0,50,4,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Fulham,,1,2
Sat,Y,70.0,2,1,1,2024-04-13,1,Matchweek 33,0.1,1,CB,2,1,0,Premier League,2,,0,0,20,0,14,Home,11,89,W 4–0,0,35,1,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Tottenham,,2,4
Wed,Y,81.6,0,0,0,2024-04-24,0,Matchweek 29,0.0,1,CB,2,0,0,Premier League,3,,0,0,76,0,62,Away,54,90,L 0–2,0,89,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Crystal Palace,,0,2
Sat,Y,81.1,0,0,1,2024-04-27,0,Matchweek 35,0.0,0,CB,0,0,0,Premier League,0,,0,0,37,0,30,Home,26,45,W 5–1,0,39,7,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Sheffield Utd,,0,0
Wed,N,80.0,0,0,1,2024-05-15,0,Matchweek 34,0.0,1,CB,1,0,0,Premier League,0,,1,0,15,0,12,Away,9,28,L 2–3,0,21,3,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester Utd,,0,0
Sun,Y,76.5,1,0,0,2024-05-19,0,Matchweek 38,0.1,1,CB,1,1,0,Premier League,1,,0,0,34,0,26,Away,26,89,W 4–2,0,41,4,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Brentford,,1,0
