dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,85.0,3,0,2,2023-08-12,0,Matchweek 1,0.0,1,DM,0,2,0,Premier League,0,,0,0,60,0,51,Away,43,90,L 1–5,0,69,6,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Newcastle Utd,,2,1
Sun,Y,85.5,1,0,1,2023-08-20,0,Matchweek 2,0.0,1,"DM,CM",1,0,0,Premier League,1,,0,0,55,0,47,Home,47,90,W 4–0,0,60,4,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Everton,,0,1
Sun,Y,91.5,2,0,1,2023-08-27,0,Matchweek 3,0.0,0,CM,1,2,0,Premier League,3,,0,0,59,0,54,Away,36,90,W 3–1,0,66,5,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.3,Burnley,,2,1
Sun,Y,88.0,0,0,0,2023-09-03,0,Matchweek 4,0.0,0,CM,0,0,0,Premier League,3,,1,0,50,0,44,Away,34,90,L 0–3,0,56,3,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,Liverpool,,2,0
Sat,Y,89.7,1,0,0,2023-09-16,0,Matchweek 5,0.0,0,DM,0,1,0,Premier League,3,,0,0,39,0,35,Home,29,57,W 3–1,0,48,3,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Crystal Palace,,0,0
Sun,Y,88.9,3,0,1,2023-09-24,0,Matchweek 6,0.0,0,"DM,CM",1,1,0,Premier League,5,,0,0,45,0,40,Away,39,89,W 1–0,0,61,4,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.3,Chelsea,,4,2
Sat,Y,80.0,1,0,0,2023-09-30,0,Matchweek 7,0.0,0,DM,1,0,0,Premier League,4,,0,0,35,0,28,Home,28,89,W 6–1,0,42,2,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Brighton,,1,1
Sun,Y,94.1,2,0,0,2023-10-08,0,Matchweek 8,0.0,0,CM,1,0,0,Premier League,2,,1,0,17,0,16,Away,12,81,D 1–1,0,27,2,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Wolves,,2,2
Sun,Y,91.9,1,0,2,2023-10-22,0,Matchweek 9,0.0,0,CM,2,1,0,Premier League,3,,0,0,74,0,68,Home,55,90,W 4–1,0,82,5,1,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.1,West Ham,,4,1
Sun,Y,93.2,0,0,0,2023-10-29,0,Matchweek 10,0.0,0,CM,1,0,0,Premier League,2,,1,0,74,0,69,Home,65,78,W 3–1,0,80,7,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Luton Town,,1,0
Sun,Y,98.7,2,0,3,2023-11-05,0,Matchweek 11,0.0,0,"CM,RB",0,0,0,Premier League,1,,1,0,76,0,75,Away,66,77,L 0–2,0,81,8,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Nott'ham Forest,,1,1
Sun,Y,90.9,1,0,1,2023-11-12,0,Matchweek 12,0.0,1,"DM,CM",1,0,0,Premier League,0,,0,0,55,0,50,Home,41,90,W 3–1,0,59,4,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Fulham,,3,0
Sun,Y,93.5,2,1,0,2023-11-26,0,Matchweek 13,0.0,1,CM,1,1,0,Premier League,2,,1,0,46,0,43,Away,31,90,W 2–1,0,53,4,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Tottenham,,4,1
Wed,Y,89.1,1,0,4,2023-12-06,0,Matchweek 15,0.0,0,CM,2,1,0,Premier League,2,,1,0,55,0,49,Home,37,90,W 1–0,0,66,9,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.2,Manchester City,,3,3
Sat,Y,79.2,1,0,1,2023-12-09,0,Matchweek 16,0.0,0,CM,3,0,0,Premier League,1,,0,0,24,0,19,Home,16,66,W 1–0,0,34,2,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Arsenal,,0,2
Sun,Y,84.8,1,0,0,2023-12-17,0,Matchweek 17,0.0,1,"CM,CB",0,0,0,Premier League,4,,0,0,66,1,56,Away,38,89,W 2–1,1,75,4,1,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.3,Brentford,,4,2
Sun,Y,87.9,3,0,0,2024-01-14,0,Matchweek 21,0.0,0,CM,0,2,0,Premier League,4,,0,0,66,0,58,Away,48,90,D 0–0,0,77,2,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Everton,,1,0
Tue,Y,84.8,0,0,0,2024-01-30,0,Matchweek 22,0.0,0,CM,2,0,0,Premier League,1,,1,0,33,0,28,Home,28,62,L 1–3,0,38,1,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Newcastle Utd,,0,0
Sat,Y,82.9,2,0,0,2024-02-03,0,Matchweek 23,0.0,0,DM,2,0,0,Premier League,1,,0,0,70,0,58,Away,50,90,W 5–0,0,81,3,1,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Sheffield Utd,,2,1
Sun,Y,94.4,3,0,3,2024-02-11,0,Matchweek 24,0.0,0,DM,2,3,0,Premier League,1,,0,0,36,0,34,Home,26,64,L 1–2,0,40,5,0,0.0,"<a href=""/en/squads/8602292d/2023-2024/Aston-Villa-Stats"">Aston Villa</a>",0.0,Manchester Utd,,2,2
