dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,92.6,0,0,0,2023-08-12,0,Matchweek 1,0.1,1,CB,1,0,0,Premier League,2,1,0,68,0,63,Home,55,90,W 5–1,1,76,1,1,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.4,Aston Villa,,1,1
Sat,Y,88.3,0,0,0,2023-08-19,0,Matchweek 2,0.0,0,CB,0,0,0,Premier League,1,0,0,60,0,53,Away,43,90,L 0–1,0,64,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester City,,1,0
Sun,Y,91.8,0,0,0,2023-08-27,0,Matchweek 3,0.1,2,CB,2,0,0,Premier League,2,0,0,85,0,78,Home,65,86,L 1–2,0,97,3,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Liverpool,,1,2
Sat,Y,89.1,0,0,0,2023-09-16,0,Matchweek 5,0.1,1,CB,1,0,0,Premier League,1,0,0,46,0,41,Home,20,90,W 1–0,0,55,1,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.3,Brentford,,1,0
Sun,Y,96.7,0,1,0,2023-09-24,1,Matchweek 6,0.0,1,CB,0,0,0,Premier League,0,0,0,90,0,87,Away,67,90,W 8–0,0,95,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Sheffield Utd,,0,1
Sat,N,96.4,0,0,0,2023-12-16,0,Matchweek 17,0.0,0,CB,0,0,0,Premier League,0,0,0,28,0,27,Home,22,7,W 3–0,0,28,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Fulham,,1,0
Sat,N,92.0,0,0,0,2023-12-23,0,Matchweek 18,0.0,1,CB,1,0,0,Premier League,3,0,0,50,0,46,Away,37,54,L 0–1,0,56,4,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Luton Town,,1,0
Tue,Y,94.4,0,0,0,2023-12-26,0,Matchweek 19,0.0,0,CB,1,0,0,Premier League,0,0,0,54,0,51,Home,47,78,L 1–3,0,60,4,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Nott'ham Forest,,1,0
Mon,Y,87.5,0,1,0,2024-01-01,1,Matchweek 20,0.2,1,CB,3,0,0,Premier League,0,0,0,32,0,28,Away,11,90,L 2–4,0,45,1,0,0.2,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Liverpool,,0,1
Sat,Y,91.4,0,0,0,2024-01-13,0,Matchweek 21,0.0,0,CB,2,0,0,Premier League,1,0,0,35,0,32,Home,24,90,L 2–3,0,42,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Manchester City,,0,0
Tue,Y,92.6,0,0,0,2024-01-30,0,Matchweek 22,0.1,2,CB,0,0,0,Premier League,1,0,0,54,0,50,Away,25,90,W 3–1,0,63,2,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Aston Villa,,1,1
Sat,Y,81.1,1,0,0,2024-02-03,0,Matchweek 23,0.0,0,CB,1,0,0,Premier League,2,0,0,37,0,30,Home,18,90,D 4–4,0,44,1,1,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Luton Town,,1,0
Sat,Y,92.0,0,0,0,2024-02-10,0,Matchweek 24,0.0,0,CB,2,0,0,Premier League,1,1,0,113,0,104,Away,89,90,W 3–2,1,123,3,1,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.1,Nott'ham Forest,,2,0
Sat,Y,82.1,0,0,0,2024-02-17,0,Matchweek 25,0.0,0,CB,1,0,0,Premier League,2,0,0,56,0,46,Home,33,90,D 2–2,0,67,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Bournemouth,,0,1
Sat,Y,85.9,0,0,0,2024-02-24,0,Matchweek 26,0.0,0,CB,2,0,0,Premier League,2,0,0,71,0,61,Away,54,72,L 1–4,0,83,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Arsenal,,0,0
Sat,Y,90.5,0,0,0,2024-03-02,0,Matchweek 27,0.0,0,CB,1,0,0,Premier League,1,0,0,63,0,57,Home,23,90,W 3–0,0,67,3,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Wolves,,1,0
Mon,Y,89.3,1,0,0,2024-03-11,0,Matchweek 28,0.1,1,CB,2,0,0,Premier League,1,0,0,75,0,67,Away,39,90,L 2–3,0,89,5,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Chelsea,,2,2
