dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,55.3,1,0,0,2023-08-13,0,Matchweek 1,0.0,0,RB,0,0,0,Premier League,2,,1,0,47,0,26,Away,21,90,D 1–1,0,57,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Chelsea,,1,0
Sat,Y,75.7,4,2,6,2023-08-19,0,Matchweek 2,0.1,3,RB,1,3,0,Premier League,1,,0,0,70,0,53,Home,34,74,W 3–1,0,79,6,1,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Bournemouth,,7,1
Sun,Y,70.0,2,0,3,2023-08-27,0,Matchweek 3,0.0,0,RB,1,2,0,Premier League,2,,1,0,50,0,35,Away,20,90,W 2–1,0,59,3,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Newcastle Utd,,3,0
Sun,Y*,87.2,1,0,4,2023-09-03,0,Matchweek 4,0.1,2,RB,0,0,0,Premier League,0,,0,0,86,0,75,Home,60,70,W 3–0,1,91,4,1,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.6,Aston Villa,,7,2
Sat,N,50.0,2,0,0,2023-09-30,0,Matchweek 7,0.0,0,WB,0,0,0,Premier League,1,,0,0,6,0,3,Away,3,17,L 1–2,0,9,0,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Tottenham,,1,0
Sun,Y,84.8,0,0,2,2023-10-08,0,Matchweek 8,0.0,0,RB,0,0,0,Premier League,3,,0,0,66,0,56,Away,39,79,D 2–2,0,71,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Brighton,,2,1
Sat,Y,74.8,3,0,2,2023-10-21,0,Matchweek 9,0.2,4,RB,0,2,0,Premier League,1,,0,0,107,0,80,Home,57,90,W 2–0,0,118,8,0,0.2,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Everton,,4,1
Sun,Y,85.7,2,0,2,2023-10-29,0,Matchweek 10,0.1,3,RB,0,1,0,Premier League,2,,1,0,84,0,72,Home,34,88,W 3–0,0,93,8,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Nott'ham Forest,,2,1
Sun,Y,77.7,2,0,1,2023-11-05,0,Matchweek 11,0.0,2,RB,1,0,0,Premier League,0,,0,0,103,0,80,Away,70,90,D 1–1,0,114,14,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.8,Luton Town,,9,2
Sun,Y,74.3,1,0,2,2023-11-12,0,Matchweek 12,0.0,0,RB,1,1,0,Premier League,0,,0,0,74,0,55,Home,44,89,W 3–0,0,83,10,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.5,Brentford,,5,1
Sat,Y,72.2,5,1,1,2023-11-25,1,Matchweek 13,0.0,1,RB,0,2,0,Premier League,3,,0,0,54,0,39,Away,30,90,D 1–1,0,66,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Manchester City,,2,2
Sun,Y,79.8,4,1,3,2023-12-03,1,Matchweek 14,0.2,4,"RB,DM",1,3,0,Premier League,1,,0,0,89,0,71,Home,54,90,W 4–3,0,99,16,0,0.2,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.3,Fulham,,7,0
Wed,Y,68.2,4,0,0,2023-12-06,0,Matchweek 15,0.0,1,RB,1,1,0,Premier League,1,,0,0,107,0,73,Away,65,90,W 2–0,1,114,9,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.8,Sheffield Utd,,9,2
Sat,Y,81.3,2,0,2,2023-12-09,0,Matchweek 16,0.0,0,"CM,RB",2,1,0,Premier League,0,,0,0,96,0,78,Away,80,90,W 2–1,0,109,13,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.6,Crystal Palace,,6,2
Sun,Y,71.4,3,0,0,2023-12-17,0,Matchweek 17,0.2,4,"RB,LM",0,3,0,Premier League,3,,0,0,112,0,80,Home,78,90,D 0–0,0,125,15,0,0.2,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.4,Manchester Utd,,11,2
Sat,Y,66.7,0,0,0,2023-12-23,0,Matchweek 18,0.4,1,RB,1,0,0,Premier League,1,,0,0,78,0,52,Home,38,90,D 1–1,1,86,6,1,0.4,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Arsenal,,6,0
Tue,Y,78.4,1,0,1,2023-12-26,0,Matchweek 19,0.0,1,RB,1,0,0,Premier League,4,,1,0,111,0,87,Away,77,90,W 2–0,0,121,8,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.5,Burnley,,4,1
Mon,Y,60.0,3,0,1,2024-01-01,0,Matchweek 20,0.0,3,RB,1,3,0,Premier League,1,,1,0,80,0,48,Home,32,90,W 4–2,0,89,8,0,0.3,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Newcastle Utd,,5,4
Wed,N,95.2,3,0,0,2024-01-31,0,Matchweek 22,0.0,0,RB,1,2,0,Premier League,0,,0,0,21,0,20,Home,17,23,W 4–1,0,26,4,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Chelsea,,3,0
Sun,Y,61.8,1,0,1,2024-02-04,0,Matchweek 23,0.0,0,RB,1,0,0,Premier League,1,,0,0,34,0,21,Away,19,57,L 1–3,0,39,2,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Arsenal,,1,0
Sat,Y,74.6,1,0,0,2024-02-10,0,Matchweek 24,0.0,1,RB,0,1,0,Premier League,1,,0,0,59,0,44,Home,35,45,W 3–1,1,63,7,1,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.3,Burnley,,4,1
Sun,N,61.5,1,0,0,2024-04-14,0,Matchweek 33,0.0,1,RB,1,1,0,Premier League,0,,0,0,52,0,32,Home,34,43,L 0–1,0,55,3,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Crystal Palace,,1,0
Sun,Y,75.6,1,1,1,2024-04-21,1,Matchweek 34,0.1,1,RB,1,1,0,Premier League,1,,0,0,86,0,65,Away,53,79,W 3–1,0,93,9,0,0.1,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.1,Fulham,,3,1
Wed,Y,78.6,1,0,3,2024-04-24,0,Matchweek 29,0.0,1,RB,3,1,0,Premier League,0,,0,0,112,0,88,Away,84,83,L 0–2,0,121,9,0,0.0,"<a href=""/en/squads/822bd0ba/2023-2024/Liverpool-Stats"">Liverpool</a>",0.0,Everton,,3,1
