dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-10-21,Nott'ham Forest,,,
Sun,Y,83.3,0,0,0,0,Matchweek 10,0.0,0,CB,1,0,0,Premier League,1,,0.0,0,0,12,0,10,Away,10,56,L 1–3,0,13,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-10-29,Aston Villa,,0,0
Sun,Y,58.8,1,0,0,0,Matchweek 11,0.0,0,CB,1,1,0,Premier League,2,,0.0,0,0,17,0,10,Home,5,90,D 1–1,0,30,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-11-05,Liverpool,,0,2
Sat,Y,78.6,1,0,0,0,Matchweek 12,0.0,0,CB,1,0,0,Premier League,0,,0.0,0,0,28,0,22,Away,18,90,L 0–1,0,42,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-11-11,Manchester Utd,,0,2
Sat,Y,89.2,1,0,0,0,Matchweek 13,0.0,0,CB,1,1,0,Premier League,0,,0.0,1,0,37,0,33,Home,23,90,W 2–1,0,50,3,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-11-25,Crystal Palace,,2,2
Sat,Y,75.0,0,0,0,0,Matchweek 14,0.0,0,CB,7,0,0,Premier League,3,,0.0,0,0,28,0,21,Away,17,90,L 1–3,0,51,0,1,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-12-02,Brentford,,1,0
Tue,Y,88.0,0,1,0,1,Matchweek 15,0.2,1,CB,3,0,0,Premier League,2,,0.0,0,0,25,0,22,Home,15,90,L 3–4,0,42,1,1,0.2,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-12-05,Arsenal,,1,2
Sat,Y,72.7,0,0,0,0,Matchweek 18,0.0,0,CB,3,0,0,Premier League,3,,0.0,0,0,11,0,8,Home,10,90,W 1–0,0,32,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-12-23,Newcastle Utd,,0,2
Tue,Y,73.9,0,0,0,0,Matchweek 19,0.0,0,CB,1,0,0,Premier League,1,,0.0,0,0,23,0,17,Away,18,90,W 3–2,0,32,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-12-26,Sheffield Utd,,0,4
Sat,Y,81.1,0,0,0,0,Matchweek 20,0.0,0,CB,1,0,0,Premier League,2,,0.0,0,0,37,0,30,Home,13,90,L 2–3,0,46,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2023-12-30,Chelsea,,0,2
Fri,Y,81.3,1,0,1,0,Matchweek 21,0.0,0,CB,0,1,0,Premier League,4,,0.0,0,0,75,0,61,Away,48,90,D 1–1,0,82,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-01-12,Burnley,,0,2
Tue,Y,76.3,3,0,0,0,Matchweek 22,0.0,0,CB,4,1,0,Premier League,3,,0.0,0,0,38,0,29,Home,15,90,W 4–0,0,51,5,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-01-30,Brighton,,0,1
Sat,Y,79.2,1,1,1,1,Matchweek 23,0.5,1,CB,1,1,0,Premier League,2,,0.0,1,0,24,0,19,Away,17,90,D 4–4,0,39,1,0,0.5,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-02-03,Newcastle Utd,,0,1
Sat,Y,89.5,1,0,1,0,Matchweek 24,0.1,2,CB,0,0,0,Premier League,2,,0.0,0,0,57,0,51,Home,48,90,L 1–3,0,70,3,0,0.1,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-02-10,Sheffield Utd,,0,3
Sun,Y,87.5,1,0,0,0,Matchweek 25,0.2,3,CB,2,1,0,Premier League,2,,0.0,1,0,48,0,42,Home,39,90,L 1–2,0,60,1,0,0.2,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-02-18,Manchester Utd,,0,3
Wed,Y,68.8,0,0,0,0,Matchweek 26,0.0,0,CB,7,0,0,Premier League,1,,0.1,0,0,32,0,22,Away,18,90,L 1–4,0,50,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-02-21,Liverpool,,0,1
Sat,Y,79.3,0,0,1,0,Matchweek 28,0.0,1,CB,1,0,0,Premier League,3,,0.0,0,0,29,0,23,Away,20,80,D 1–1,0,40,4,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-03-09,Crystal Palace,,0,2
Sat,Y,80.6,0,0,0,0,Matchweek 34,0.0,0,CB,0,0,0,Premier League,2,,0.1,0,0,36,0,29,Home,28,90,L 1–5,0,48,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-04-20,Brentford,,1,2
Sat,Y,85.1,0,0,0,0,Matchweek 35,0.0,0,CB,1,0,0,Premier League,1,,0.0,0,0,47,0,40,Away,21,90,L 1–2,0,54,5,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-04-27,Wolves,,0,0
Fri,Y,89.1,2,0,6,0,Matchweek 36,0.0,1,CB,0,1,0,Premier League,2,,0.0,0,0,55,0,49,Home,42,90,D 1–1,0,68,5,1,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-05-03,Everton,,2,0
Sat,Y,88.9,0,0,0,0,Matchweek 37,0.0,0,CB,1,0,0,Premier League,3,,0.0,0,0,27,0,24,Away,25,90,L 1–3,0,41,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-05-11,West Ham,,0,0
Sun,Y,90.0,0,0,0,0,Matchweek 38,0.0,1,CB,1,0,0,Premier League,2,,0.0,0,0,20,0,18,Home,11,90,L 2–4,0,27,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",2024-05-19,Fulham,,1,0
