dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 1–1,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-08-26,Crystal Palace,,,
Sat,N,88.9,2,0,3,0,Matchweek 4,0.0,1,LM,1,0,0,Premier League,0,,0.0,0,0,9,0,8,Home,7,9,D 2–2,0,13,3,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-09-02,Bournemouth,,1,0
Sat,N,50.0,1,0,2,0,Matchweek 6,0.0,0,FW,2,0,0,Premier League,0,,0.0,0,0,4,0,2,Home,5,2,L 1–3,0,8,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-09-23,Everton,,0,0
Sun,N,66.7,1,0,1,0,Matchweek 7,0.1,1,WB,0,0,0,Premier League,0,,0.0,0,0,6,0,4,Away,7,2,D 1–1,0,10,0,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-01,Nott'ham Forest,,0,0
Sat,N,,,,,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–2,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-07,Manchester Utd,,,
Sat,N,0.0,0,0,0,0,Matchweek 9,0.0,0,FW,0,0,0,Premier League,0,,0.0,0,0,1,0,0,Home,1,3,W 3–0,0,2,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-21,Burnley,,0,0
Sat,N,,,,,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 2–0,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-10-28,Chelsea,,,
Sat,N,,,,,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–2,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-11-04,West Ham,,,
Sun,N,,,,,,Matchweek 12,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–3,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-11-12,Liverpool,,,
Sat,N,,,,,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–1,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-11-25,Arsenal,,,
Sat,N,,,,,,Matchweek 14,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–1,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-12-02,Luton Town,,,
Wed,N,,,,,,Matchweek 15,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–2,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-12-06,Brighton,,,
Sat,N,57.1,4,0,0,0,Matchweek 16,0.0,0,RB,4,1,0,Premier League,1,,0.0,0,0,7,0,4,Away,7,25,L 0–1,0,18,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-12-09,Sheffield Utd,,2,0
Sun,N,100.0,1,0,0,0,Matchweek 17,0.0,0,WB,0,0,0,Premier League,2,,0.0,0,0,2,0,2,Home,1,2,L 1–2,0,5,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-12-17,Aston Villa,,0,1
Wed,N,83.3,1,0,2,0,Matchweek 19,0.0,1,FW,0,1,0,Premier League,0,,0.0,0,0,6,0,5,Home,7,5,L 1–4,0,7,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-12-27,Wolves,,0,0
Sat,N,40.0,1,0,2,0,Matchweek 20,0.0,0,FW,0,1,0,Premier League,0,,0.0,0,0,5,0,2,Away,7,11,L 1–3,0,7,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2023-12-30,Crystal Palace,,0,0
Sat,N,,,,,,Matchweek 21,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–2,,,,,,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",2024-01-20,Nott'ham Forest,,,
