dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–1,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-08-12,Crystal Palace,,,
Fri,N,,,,,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–2,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-08-18,Nott'ham Forest,,,
Sun,N,,,,,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-08-27,Manchester City,,,
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-02,Everton,,,
Sat,N,50.0,0,0,0,0,Matchweek 5,0.0,0,CB,0,0,0,Premier League,1,,0.0,0,0,2,0,1,Away,1,5,L 1–2,0,5,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-16,Tottenham,,0,1
Sun,N,,,,,,Matchweek 6,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–8,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-24,Newcastle Utd,,,
Sat,N,75.0,0,0,0,0,Matchweek 7,0.0,0,CB,0,0,0,Premier League,0,,0.0,0,0,8,0,6,Away,5,12,L 0–2,0,9,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-09-30,West Ham,,0,0
Sat,Y,51.9,0,0,0,0,Matchweek 8,0.0,0,CB,3,0,0,Premier League,4,,0.0,0,0,27,0,14,Away,10,90,L 1–3,0,55,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-10-07,Fulham,,0,0
Sat,Y,76.0,1,0,0,0,Matchweek 9,0.0,0,CB,1,0,0,Premier League,4,,0.0,1,0,25,0,19,Home,14,90,L 1–2,0,38,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-10-21,Manchester Utd,,0,3
Sat,Y,88.6,0,0,0,0,Matchweek 10,0.0,0,CB,1,0,0,Premier League,3,,0.0,0,0,35,0,31,Away,24,90,L 0–5,0,43,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-10-28,Arsenal,,0,0
Sat,Y,72.4,0,0,0,0,Matchweek 11,0.0,0,CB,2,0,0,Premier League,2,,0.0,0,0,29,0,21,Home,13,90,W 2–1,0,42,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-11-04,Wolves,,0,1
Sun,Y,77.1,2,0,1,0,Matchweek 12,0.0,0,CB,0,0,0,Premier League,2,,0.0,0,0,35,0,27,Away,21,90,D 1–1,0,44,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-11-12,Brighton,,1,1
Sat,Y,72.7,0,0,0,0,Matchweek 13,0.0,0,CB,1,0,0,Premier League,2,,0.0,0,0,33,0,24,Home,12,90,L 1–3,0,46,3,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-11-25,Bournemouth,,0,1
Sat,Y,65.1,1,0,2,0,Matchweek 14,0.0,0,"LB,CB",3,1,0,Premier League,0,,0.0,0,0,43,0,28,Away,24,90,L 0–5,0,54,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-12-02,Burnley,,1,1
Wed,Y,50.0,1,0,0,0,Matchweek 15,0.0,0,CB,1,0,0,Premier League,1,,0.0,0,0,20,0,10,Home,10,87,L 0–2,0,31,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-12-06,Liverpool,,0,1
Sat,Y,75.0,0,0,1,0,Matchweek 16,0.0,1,"LB,CB",0,0,0,Premier League,1,,0.0,1,0,32,0,24,Home,14,90,W 1–0,0,44,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-12-09,Brentford,,0,1
Sat,Y,60.0,0,0,0,0,Matchweek 17,0.0,0,CB,2,0,0,Premier League,2,,0.0,0,0,15,0,9,Away,8,90,L 0–2,0,24,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-12-16,Chelsea,,0,0
Fri,Y,25.0,0,0,0,0,Matchweek 18,0.0,0,CB,0,0,0,Premier League,1,,0.0,1,0,8,0,2,Away,1,90,D 1–1,0,21,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-12-22,Aston Villa,,0,3
Tue,Y,71.4,1,0,0,0,Matchweek 19,0.2,2,"CB,LB",0,0,0,Premier League,1,,0.0,0,0,35,0,25,Home,20,90,L 2–3,0,42,1,0,0.2,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-12-26,Luton Town,,1,0
Sat,Y,84.0,0,0,0,0,Matchweek 20,0.0,0,CB,2,0,0,Premier League,2,,0.0,0,0,25,0,21,Away,15,90,L 0–2,0,32,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2023-12-30,Manchester City,,1,0
Sun,Y,76.0,0,1,2,0,Matchweek 21,0.1,2,LB,2,0,0,Premier League,4,,0.4,0,0,50,0,38,Home,27,79,D 2–2,0,66,7,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-01-21,West Ham,,2,0
Tue,Y,81.8,0,0,0,0,Matchweek 22,0.0,0,"CB,LB",1,0,0,Premier League,5,,0.0,1,0,44,0,36,Away,21,90,L 2–3,0,55,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-01-30,Crystal Palace,,1,0
Sat,Y,86.8,0,0,1,0,Matchweek 23,0.0,0,"CB,LB",0,0,0,Premier League,0,,0.1,0,0,53,0,46,Home,43,90,L 0–5,0,62,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-02-03,Aston Villa,,1,1
Sat,N,,,,,,Matchweek 24,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-02-10,Luton Town,,,
Sun,N,73.3,0,0,1,0,Matchweek 25,0.0,0,CB,0,0,0,Premier League,0,,0.0,0,0,15,0,11,Home,11,60,L 0–5,0,24,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-02-18,Brighton,,0,0
Sun,Y,76.3,0,0,0,0,Matchweek 26,0.0,0,CB,2,0,0,Premier League,1,,0.0,0,0,38,0,29,Away,19,90,L 0–1,0,52,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-02-25,Wolves,,0,2
Mon,Y,60.0,0,0,0,0,Matchweek 27,0.0,0,"CB,LB",1,0,0,Premier League,0,,0.0,0,0,20,0,12,Home,7,90,L 0–6,0,31,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-03-04,Arsenal,,0,2
Sat,Y,50.0,0,0,0,0,Matchweek 28,0.0,1,CB,3,0,0,Premier League,0,,0.0,0,0,6,0,3,Away,4,90,D 2–2,0,23,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-03-09,Bournemouth,,0,0
Sat,N,66.7,0,0,0,0,Matchweek 30,0.0,0,CM,1,0,0,Premier League,0,,0.0,0,0,3,0,2,Home,0,6,D 3–3,0,8,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-03-30,Fulham,,0,0
Thu,Y,60.0,2,0,0,0,Matchweek 31,0.0,1,WB,2,1,0,Premier League,2,,0.0,0,0,15,0,9,Away,4,77,L 1–3,0,27,4,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-04-04,Liverpool,,1,4
Sun,Y,85.0,1,0,1,0,Matchweek 32,0.0,0,"WB,CB",1,1,0,Premier League,1,,0.0,0,0,20,0,17,Home,19,86,D 2–2,0,29,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-04-07,Chelsea,,0,1
Sat,Y,76.1,0,0,0,0,Matchweek 33,0.0,0,CB,2,0,0,Premier League,0,,0.1,0,0,46,0,35,Away,28,90,L 0–2,0,56,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-04-13,Brentford,,3,1
Sat,Y,85.4,0,1,0,0,Matchweek 34,0.0,1,CB,3,0,0,Premier League,1,,0.0,0,0,48,0,41,Home,34,90,L 1–4,0,59,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-04-20,Burnley,,0,0
Wed,Y,70.5,2,0,1,0,Matchweek 29,0.0,0,CB,0,2,0,Premier League,3,,0.0,0,0,44,0,31,Away,22,90,L 2–4,0,54,4,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-04-24,Manchester Utd,,0,1
Sat,Y,90.0,0,0,0,0,Matchweek 35,0.0,0,CB,5,0,0,Premier League,0,,0.5,0,0,20,0,18,Away,16,90,L 1–5,0,33,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-04-27,Newcastle Utd,,2,7
Sat,Y,86.0,0,0,0,0,Matchweek 36,0.0,0,CB,0,0,0,Premier League,1,,0.0,0,0,57,0,49,Home,33,90,L 1–3,0,61,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-05-04,Nott'ham Forest,,2,0
Sat,Y,91.7,0,0,0,0,Matchweek 37,0.0,0,CB,0,0,0,Premier League,3,,0.0,0,0,36,0,33,Away,16,90,L 0–1,0,47,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-05-11,Everton,,0,1
Sun,Y,90.3,1,0,0,0,Matchweek 38,0.0,0,"CB,LB",2,1,0,Premier League,0,,0.0,0,0,31,0,28,Home,14,90,L 0–3,0,45,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",2024-05-19,Tottenham,,0,2
