dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Fri,Y,82.1,0,0,0,2023-08-11,0,Matchweek 1,0.0,0,CM,1,0,0,Premier League,0,0,0,28,0,23,Home,12,89,L 0–3,0,33,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Manchester City,,0,0
Sun,Y,92.6,1,0,0,2023-08-27,0,Matchweek 3,0.0,0,CM,0,0,0,Premier League,1,1,0,27,0,25,Home,22,67,L 1–3,0,34,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Aston Villa,,1,0
Sat,Y,90.9,2,0,0,2023-09-02,0,Matchweek 4,0.0,0,CM,3,1,0,Premier League,2,0,0,22,0,20,Home,21,45,L 2–5,0,28,0,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Tottenham,,2,0
Mon,N,64.7,1,0,2,2023-09-18,0,Matchweek 5,0.0,0,AM,2,1,0,Premier League,1,0,0,17,0,11,Away,12,28,D 1–1,0,23,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Nott'ham Forest,,0,0
Sat,N,87.5,1,0,1,2023-09-23,0,Matchweek 6,0.2,1,RM,0,1,0,Premier League,0,0,0,16,0,14,Home,8,18,L 0–1,0,17,3,0,0.2,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Manchester Utd,,1,0
Sat,Y,86.8,0,0,1,2023-09-30,0,Matchweek 7,0.1,1,DM,1,0,0,Premier League,2,0,0,38,0,33,Away,27,87,L 0–2,0,50,1,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Newcastle Utd,,3,1
Tue,Y,73.8,1,0,3,2023-10-03,0,Matchweek 2,0.0,0,RM,1,1,0,Premier League,2,0,0,42,0,31,Away,21,90,W 2–1,1,52,5,1,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.4,Luton Town,,1,1
Sat,Y,92.3,0,0,1,2023-10-07,0,Matchweek 8,0.0,1,RM,0,0,0,Premier League,1,0,0,39,0,36,Home,31,90,L 1–4,0,44,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Chelsea,,1,0
Sat,Y,81.3,2,0,1,2023-10-21,0,Matchweek 9,0.0,0,DM,2,1,0,Premier League,1,1,0,16,0,13,Away,11,65,L 0–3,0,27,1,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Brentford,,0,0
Sat,N,96.3,1,1,0,2023-10-28,0,Matchweek 10,0.5,2,"CM,DM",2,1,0,Premier League,0,0,0,27,0,26,Away,23,31,L 1–2,0,34,3,0,0.5,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Bournemouth,,0,2
Sat,Y,92.9,2,0,0,2023-11-04,0,Matchweek 11,0.0,0,"CM,CB",1,0,0,Premier League,0,0,0,70,0,65,Home,54,90,L 0–2,0,76,10,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,Crystal Palace,,1,1
Sat,Y,83.9,0,0,2,2023-11-11,0,Matchweek 12,0.0,0,CM,3,0,0,Premier League,5,0,0,31,0,26,Away,22,90,L 1–3,0,49,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Arsenal,,0,1
Sat,Y,90.0,2,0,1,2023-11-25,0,Matchweek 13,0.0,0,CM,4,1,0,Premier League,1,0,0,60,0,54,Home,29,90,L 1–2,0,74,8,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.1,West Ham,,1,0
Sat,Y,86.8,2,0,2,2023-12-02,0,Matchweek 14,0.0,0,CM,1,2,0,Premier League,0,0,0,53,0,46,Home,30,90,W 5–0,0,56,8,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",0.0,Sheffield Utd,,2,0
