dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,60.0,0,0,0,2023-08-12,0,Matchweek 1,0.0,0,CM,0,0,0,Premier League,1,,0,0,5,0,3,Away,2,3,L 1–4,0,6,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.2,Brighton,,2,0
Fri,N,,,,,2023-08-25,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–3,,,,,,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",,Chelsea,,,
Fri,N,63.6,0,0,0,2023-09-01,0,Matchweek 4,0.0,0,CM,0,0,0,Premier League,0,,0,0,11,0,7,Home,4,7,L 1–2,0,12,1,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,West Ham,,1,0
Sat,N,,0,0,0,2023-09-16,0,Matchweek 5,0.1,1,FW,0,0,0,Premier League,0,,0,0,0,0,0,Away,2,10,L 0–1,0,2,0,0,0.1,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Fulham,,0,0
Sat,N,60.0,0,0,1,2023-09-23,0,Matchweek 6,0.3,2,RW,0,0,0,Premier League,0,,0,0,5,0,3,Home,8,19,D 1–1,0,11,0,0,0.3,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.1,Wolves,,1,0
Sat,N,0.0,1,0,0,2023-09-30,0,Matchweek 7,0.0,0,WB,0,1,0,Premier League,2,,0,0,5,0,0,Away,2,8,W 2–1,0,8,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Everton,,0,0
Tue,N,,,,,2023-10-03,,Matchweek 2,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",,Burnley,,,
Sat,N,87.5,0,1,1,2023-10-07,0,Matchweek 8,0.2,1,FW,0,0,0,Premier League,2,,0,0,8,0,7,Home,3,24,L 0–1,0,11,0,0,0.2,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Tottenham,,0,0
Sat,N,60.0,1,0,1,2023-10-21,0,Matchweek 9,0.1,1,FW,0,1,0,Premier League,1,,0,0,5,0,3,Away,4,10,D 2–2,0,8,0,0,0.1,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Nott'ham Forest,,1,0
Sun,N,,,,,2023-10-29,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",,Aston Villa,,,
