dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Mon,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-08-14,Wolves,,,
Sat,N,,,,,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–2,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-08-26,Nott'ham Forest,,,
Sun,N,76.5,0,0,0,0,Matchweek 4,0.0,0,CB,0,0,0,Premier League,0,,0.0,0,0,17,0,13,Away,12,24,L 1–3,0,17,2,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-09-03,Arsenal,,1,0
Sat,N,,,,,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 1–3,,,,,,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-09-16,Brighton,,,
Sat,N,60.0,0,0,0,0,Matchweek 7,0.0,0,CB,0,0,0,Premier League,1,,0.0,0,0,5,0,3,Home,3,4,L 0–1,0,6,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-09-30,Crystal Palace,,0,0
Sat,Y,87.7,0,0,2,0,Matchweek 8,0.0,0,CB,0,0,0,Premier League,0,,0.3,0,0,65,0,57,Home,41,90,W 2–1,1,68,4,1,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-10-07,Brentford,,4,2
Sat,Y,82.3,0,0,0,0,Matchweek 9,0.0,0,CB,3,0,0,Premier League,1,,0.0,0,0,96,0,79,Away,65,90,W 2–1,0,104,7,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-10-21,Sheffield Utd,,1,1
Sun,Y,87.0,0,0,1,0,Matchweek 10,0.0,1,CB,0,0,0,Premier League,1,,0.0,0,0,54,0,47,Home,38,90,L 0–3,0,64,3,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-10-29,Manchester City,,1,0
Sat,Y,81.7,0,0,0,0,Matchweek 11,0.0,0,CB,2,0,0,Premier League,0,,0.0,0,0,60,0,49,Away,44,90,W 1–0,0,73,3,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-11-04,Fulham,,0,0
Sat,Y,89.9,0,0,3,0,Matchweek 12,0.0,0,CB,3,0,0,Premier League,0,,0.1,0,0,89,0,80,Home,68,90,W 1–0,0,99,9,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-11-11,Luton Town,,3,0
Sun,Y,78.7,0,0,1,0,Matchweek 13,0.1,1,CB,2,0,0,Premier League,0,,0.0,0,0,47,0,37,Away,31,90,W 3–0,0,61,3,0,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-11-26,Everton,,0,1
Sat,Y,64.1,1,0,0,0,Matchweek 14,0.1,2,CB,8,0,0,Premier League,3,,0.0,1,0,39,0,25,Away,20,90,L 0–1,0,63,0,0,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-02,Newcastle Utd,,0,3
Wed,Y,81.8,0,0,1,0,Matchweek 15,0.3,1,CB,0,0,0,Premier League,1,,0.0,0,0,33,0,27,Home,27,90,W 2–1,0,40,3,1,0.3,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-06,Chelsea,,1,2
Sat,Y,82.1,0,1,2,0,Matchweek 16,0.1,2,CB,1,0,0,Premier League,3,,0.0,0,0,56,0,46,Home,35,90,L 0–3,0,66,7,0,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2023-12-09,Bournemouth,,1,4
Thu,N,66.7,0,0,0,0,Matchweek 22,0.0,0,CB,1,0,0,Premier League,0,,0.0,0,0,3,0,2,Away,2,5,W 4–3,0,4,0,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2024-02-01,Wolves,,0,0
Sun,Y,83.7,0,0,0,0,Matchweek 23,0.0,0,CB,2,0,0,Premier League,1,,0.0,0,0,43,0,36,Home,34,90,W 3–0,0,51,2,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2024-02-04,West Ham,,0,2
Sun,Y,78.3,0,0,1,0,Matchweek 24,0.1,2,CB,1,0,0,Premier League,4,,0.7,0,0,60,0,47,Away,30,90,W 2–1,1,73,4,1,0.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2024-02-11,Aston Villa,,2,0
Sun,Y,87.5,0,0,0,0,Matchweek 25,0.0,0,CB,1,0,0,Premier League,0,,0.1,1,0,16,0,14,Away,6,45,W 2–1,0,20,1,0,0.0,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2024-02-18,Luton Town,,1,1
Sat,Y,93.0,1,1,1,1,Matchweek 26,1.1,4,CB,2,0,0,Premier League,1,,0.1,1,0,86,0,80,Home,52,90,L 1–2,0,101,6,0,1.1,"<a href=""/en/squads/19538871/2023-2024/Manchester-United-Stats"">Manchester Utd</a>",2024-02-24,Fulham,,4,3
