dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Sat,N,,,,,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-09-02,Brighton,,,
Sat,N,,,,,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-09-16,Brentford,,,
Sun,N,100.0,0,0,0,0,Matchweek 6,0.0,0,LB,0,0,0,Premier League,0,,0.0,0,0,2,0,2,Away,2,10,W 8–0,0,5,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-09-24,Sheffield Utd,,0,0
Sat,N,,,,,,Matchweek 7,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-09-30,Burnley,,,
Sun,N,,,,,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-10-08,West Ham,,,
Sat,N,,,,,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 4–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-10-21,Crystal Palace,,,
Sat,N,,,,,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-10-28,Wolves,,,
Sat,N,,,,,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-11-04,Arsenal,,,
Sat,Y,79.3,1,1,1,0,Matchweek 12,0.0,1,LB,1,1,0,Premier League,4,,0.0,0,0,29,0,23,Away,14,45,L 0–2,0,39,2,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-11-11,Bournemouth,,1,1
Sat,N,,,,,,Matchweek 14,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-12-02,Manchester Utd,,,
Thu,N,,,,,,Matchweek 15,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 0–3,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-12-07,Everton,,,
Sun,N,77.8,3,0,0,0,Matchweek 16,0.0,0,LB,1,0,0,Premier League,2,,0.0,0,0,9,0,7,Away,6,17,L 1–4,0,14,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-12-10,Tottenham,,0,0
Sat,N,88.9,2,0,0,0,Matchweek 17,0.0,0,LB,0,0,0,Premier League,1,,0.0,0,0,9,0,8,Home,8,7,W 3–0,0,13,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-12-16,Fulham,,0,0
Sat,N,100.0,0,0,0,0,Matchweek 18,0.0,0,LB,0,0,0,Premier League,2,,0.0,1,0,2,0,2,Away,2,6,L 0–1,0,4,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-12-23,Luton Town,,0,0
Tue,N,65.2,0,0,0,0,Matchweek 19,0.0,0,LB,0,0,0,Premier League,0,,0.0,0,0,23,0,15,Home,14,12,L 1–3,0,24,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2023-12-26,Nott'ham Forest,,1,1
Mon,N,85.7,0,0,1,0,Matchweek 20,0.0,0,LB,0,0,0,Premier League,0,,0.0,0,0,7,0,6,Away,3,9,L 2–4,0,8,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-01-01,Liverpool,,0,0
Sat,N,100.0,0,0,0,0,Matchweek 21,0.0,0,LW,0,0,0,Premier League,1,,0.0,0,0,2,0,2,Home,2,5,L 2–3,0,2,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-01-13,Manchester City,,0,0
Tue,N,,,,,,Matchweek 22,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-01-30,Aston Villa,,,
Sat,N,,,,,,Matchweek 23,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 4–4,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-02-03,Luton Town,,,
Sat,N,,,,,,Matchweek 24,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,W 3–2,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-02-10,Nott'ham Forest,,,
Sat,N,,,,,,Matchweek 25,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-02-17,Bournemouth,,,
Sat,N,,,,,,Matchweek 26,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Away,,,L 1–4,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-02-24,Arsenal,,,
Sat,N,,,,,,Matchweek 27,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,W 3–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-03-02,Wolves,,,
Sat,N,76.0,0,0,2,0,Matchweek 30,0.0,0,LB,1,0,0,Premier League,3,,0.0,0,0,25,0,19,Home,16,34,W 4–3,0,31,1,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-03-30,West Ham,,0,1
Tue,Y,83.6,1,0,2,0,Matchweek 31,0.0,0,LB,2,1,0,Premier League,2,,0.1,0,0,67,0,56,Home,31,78,D 1–1,0,78,4,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-04-02,Everton,,2,0
Sat,Y,69.2,1,0,1,0,Matchweek 32,0.0,0,LB,4,1,0,Premier League,3,,0.0,0,0,39,0,27,Away,16,89,W 1–0,0,54,6,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-04-06,Fulham,,2,2
Sat,N,100.0,0,0,0,0,Matchweek 33,0.0,0,LB,0,0,0,Premier League,0,,0.0,0,0,1,0,1,Home,2,3,W 4–0,0,2,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-04-13,Tottenham,,0,0
Wed,N,69.2,1,0,1,0,Matchweek 29,0.0,1,WB,1,0,0,Premier League,0,,0.0,0,0,13,0,9,Away,11,26,L 0–2,0,18,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-04-24,Crystal Palace,,2,0
Sat,Y,89.7,0,1,1,0,Matchweek 35,0.1,2,LB,2,0,0,Premier League,1,,0.0,0,0,58,0,52,Home,45,81,W 5–1,0,64,10,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-04-27,Sheffield Utd,,0,0
Sat,Y,74.6,1,0,2,0,Matchweek 36,0.1,2,LB,1,1,0,Premier League,4,,0.0,0,0,63,0,47,Away,32,90,W 4–1,0,76,2,1,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-05-04,Burnley,,2,3
Sat,Y,90.5,2,0,2,0,Matchweek 37,0.1,3,LB,3,1,0,Premier League,0,,0.0,1,0,74,0,67,Home,62,89,D 1–1,0,85,8,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-05-11,Brighton,,2,2
Wed,Y,86.1,2,2,2,1,Matchweek 34,0.1,2,LB,1,1,0,Premier League,1,,0.2,0,0,72,0,62,Away,41,90,L 2–3,0,84,8,1,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-05-15,Manchester Utd,,4,1
Sun,Y,82.5,4,0,4,0,Matchweek 38,0.0,0,LB,0,3,0,Premier League,4,,0.0,0,0,57,0,47,Away,36,90,W 4–2,0,67,1,1,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",2024-05-19,Brentford,,4,1
