dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,89.1,0,0,0,2023-08-12,0,Matchweek 1,0.0,2,DM,1,0,0,Premier League,2,,0,0,46,0,41,Home,35,73,W 4–1,0,53,4,1,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.1,Luton Town,,3,0
Sat,N,86.4,0,0,0,2023-08-19,0,Matchweek 2,0.0,0,DM,0,0,0,Premier League,1,,0,0,22,0,19,Away,11,10,W 4–1,0,23,2,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Wolves,,1,0
Sat,N,,,,,2023-08-26,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 1–3,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,West Ham,,,
Sat,N,100.0,0,0,0,2023-09-02,0,Matchweek 4,0.0,0,"CM,DM",0,0,0,Premier League,0,,1,0,23,0,23,Home,21,14,W 3–1,0,24,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Newcastle Utd,,0,0
Sat,Y,87.5,0,0,0,2023-09-16,0,Matchweek 5,0.0,0,DM,1,0,0,Premier League,2,,0,0,48,0,42,Away,30,76,W 3–1,0,54,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Manchester Utd,,1,0
Sun,Y,82.1,1,0,0,2023-09-24,0,Matchweek 6,0.0,1,DM,0,0,0,Premier League,1,,0,0,28,0,23,Home,18,73,W 3–1,1,33,1,1,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.2,Bournemouth,,1,0
Sat,N,,,,,2023-09-30,,Matchweek 7,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–6,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Aston Villa,,,
Sun,N,,,,,2023-10-08,,Matchweek 8,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Liverpool,,,
Sat,N,,,,,2023-10-21,,Matchweek 9,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Manchester City,,,
Sun,Y,89.3,2,0,2,2023-10-29,0,Matchweek 10,0.0,0,CM,1,1,0,Premier League,2,,0,0,56,0,50,Home,48,70,D 1–1,0,63,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.3,Fulham,,4,1
Sat,N,80.0,0,0,1,2023-11-04,0,Matchweek 11,0.0,0,CM,0,0,0,Premier League,0,,0,0,25,0,20,Away,21,23,D 1–1,0,26,1,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Everton,,1,0
Sun,Y,80.9,1,1,0,2023-11-12,0,Matchweek 12,0.0,1,DM,0,0,0,Premier League,1,,0,0,47,1,38,Home,24,68,D 1–1,0,51,2,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.2,Sheffield Utd,,1,0
Sat,Y,84.8,1,0,1,2023-12-09,0,Matchweek 16,0.1,2,DM,1,1,0,Premier League,0,,0,0,33,0,28,Home,31,45,D 1–1,0,41,1,0,0.1,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Burnley,,1,0
Sun,N,,,,,2023-12-17,,Matchweek 17,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 0–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Arsenal,,,
Thu,N,,,,,2023-12-21,,Matchweek 18,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 1–1,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Crystal Palace,,,
Thu,N,,,,,2023-12-28,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 4–2,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,Tottenham,,,
Tue,N,,,,,2024-01-02,,Matchweek 20,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 0–0,,,,,,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,West Ham,,,
