dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,100.0,2,0,1,2023-08-12,0,Matchweek 1,0.0,0,RW,0,2,0,Premier League,0,,0,0,5,0,5,Home,5,5,W 5–1,1,8,3,2,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.6,Aston Villa,,3,0
Sun,N,,,,,2023-08-27,,Matchweek 3,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 1–2,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",,Liverpool,,,
Sat,N,,,,,2023-09-02,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",,Brighton,,,
Sat,N,,,,,2023-09-16,,Matchweek 5,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 1–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",,Brentford,,,
Sun,N,,,,,2023-09-24,,Matchweek 6,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 8–0,,,,,,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",,Sheffield Utd,,,
Sat,N,,0,0,0,2023-09-30,0,Matchweek 7,0.0,0,RW,0,0,0,Premier League,0,,0,0,0,0,0,Home,0,1,W 2–0,0,0,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Burnley,,0,0
Sun,N,66.7,0,0,0,2023-10-08,0,Matchweek 8,0.0,0,"RW,FW",1,0,0,Premier League,2,,0,0,3,0,2,Away,3,9,D 2–2,0,7,0,0,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,West Ham,,0,0
Sat,Y,68.3,2,2,5,2023-10-21,1,Matchweek 9,0.0,2,"RW,LW",1,1,0,Premier League,0,,0,0,41,0,28,Home,38,90,W 4–0,2,52,7,2,0.0,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.9,Crystal Palace,,4,0
Sat,N,100.0,0,0,0,2023-11-04,0,Matchweek 11,0.1,2,RW,0,0,0,Premier League,0,,0,0,2,0,2,Home,4,16,W 1–0,0,7,0,0,0.1,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.0,Arsenal,,1,0
Tue,Y,78.9,0,1,1,2024-01-30,0,Matchweek 22,0.3,2,"RW,RM",1,0,0,Premier League,1,,0,0,19,0,15,Away,15,90,W 3–1,0,26,3,0,0.3,"<a href=""/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats"">Newcastle Utd</a>",0.3,Aston Villa,,3,0
