dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y*,86.4,1,0,0,2023-08-13,0,Matchweek 1,0.0,0,CM,2,0,0,Premier League,1,,0,0,22,0,19,Home,16,71,D 2–2,0,38,2,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Tottenham,,2,2
Sat,Y*,73.0,0,0,0,2023-08-19,0,Matchweek 2,0.0,1,CM,3,0,0,Premier League,4,,0,0,37,0,27,Away,29,78,W 3–0,0,48,3,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Fulham,,2,1
Sat,Y*,89.2,0,0,0,2023-08-26,0,Matchweek 3,0.0,1,CM,1,0,0,Premier League,3,,0,0,65,0,58,Home,47,90,D 1–1,1,76,12,1,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Crystal Palace,,6,0
Sat,Y*,84.6,0,1,0,2023-09-02,0,Matchweek 4,0.1,2,CM,0,0,0,Premier League,5,,0,0,65,0,55,Home,32,90,D 2–2,0,74,9,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.2,Bournemouth,,5,2
Sat,Y*,77.8,0,0,0,2023-09-16,0,Matchweek 5,0.1,2,CM,0,0,0,Premier League,3,,1,0,36,0,28,Away,26,71,L 0–1,0,44,1,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Newcastle Utd,,1,1
Sat,Y*,76.4,1,0,0,2023-09-23,0,Matchweek 6,0.1,1,CM,2,0,0,Premier League,4,,0,0,72,0,55,Home,41,90,L 1–3,0,85,10,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Everton,,1,1
Sun,Y*,78.1,0,1,0,2023-10-01,1,Matchweek 7,0.5,4,"CM,DM",2,0,0,Premier League,0,,0,0,73,0,57,Away,56,90,D 1–1,0,83,7,0,0.5,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Nott'ham Forest,,3,1
Sat,Y*,76.3,0,1,0,2023-10-07,0,Matchweek 8,0.4,2,CM,2,0,0,Premier League,1,,1,0,38,0,29,Away,14,90,L 1–2,0,49,3,0,0.4,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Manchester Utd,,0,2
Sat,Y*,83.6,1,0,2,2023-10-21,0,Matchweek 9,0.2,3,CM,1,1,0,Premier League,4,,0,0,55,0,46,Home,37,90,W 3–0,0,68,7,0,0.2,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.4,Burnley,,5,1
Sat,Y*,75.0,1,0,0,2023-10-28,0,Matchweek 10,0.0,0,CM,2,1,0,Premier League,2,,1,0,40,0,30,Away,19,90,W 2–0,0,52,3,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Chelsea,,0,2
Sat,Y*,78.3,0,0,0,2023-11-04,0,Matchweek 11,0.1,2,CM,1,0,0,Premier League,2,,0,0,60,0,47,Home,31,90,W 3–2,0,73,10,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,West Ham,,3,1
Sun,Y*,75.5,1,0,0,2023-11-12,0,Matchweek 12,0.3,2,CM,2,1,0,Premier League,1,,1,0,49,0,37,Away,34,90,L 0–3,0,64,6,0,0.3,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.3,Liverpool,,3,2
Sat,Y*,67.6,1,0,1,2023-11-25,0,Matchweek 13,0.0,1,CM,0,1,0,Premier League,5,,0,0,34,0,23,Home,18,90,L 0–1,0,41,3,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Arsenal,,0,0
Sat,Y*,79.8,1,0,2,2023-12-02,0,Matchweek 14,0.0,1,CM,2,1,0,Premier League,4,,1,0,94,0,75,Home,57,90,W 3–1,0,112,4,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Luton Town,,4,0
Sat,Y*,80.3,0,0,1,2023-12-09,0,Matchweek 16,0.1,2,CM,3,0,0,Premier League,3,,0,0,66,0,53,Away,48,90,L 0–1,0,85,6,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Sheffield Utd,,2,1
Sun,Y*,66.7,1,0,2,2023-12-17,0,Matchweek 17,0.0,0,CM,3,1,0,Premier League,6,,1,0,48,0,32,Home,23,90,L 1–2,0,62,5,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Aston Villa,,1,4
Wed,Y*,76.6,0,0,1,2023-12-27,0,Matchweek 19,0.1,1,CM,1,0,0,Premier League,3,,1,0,94,0,72,Home,52,90,L 1–4,0,102,11,1,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Wolves,,1,0
Sat,Y*,81.4,1,1,0,2023-12-30,0,Matchweek 20,0.1,1,CM,1,0,0,Premier League,2,,0,0,43,0,35,Away,18,66,L 1–3,0,54,4,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Crystal Palace,,1,0
Wed,Y*,79.5,0,0,0,2024-01-31,0,Matchweek 22,0.0,0,CM,3,0,0,Premier League,3,,1,0,39,0,31,Away,26,90,L 2–3,0,54,6,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Tottenham,,3,7
Mon,Y*,68.0,1,1,0,2024-02-05,0,Matchweek 23,0.3,3,CM,1,0,0,Premier League,2,,0,0,25,0,17,Home,13,90,L 1–3,0,40,0,0,0.3,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Manchester City,,2,2
Sat,Y*,76.0,0,1,0,2024-02-10,1,Matchweek 24,0.7,1,CM,2,0,0,Premier League,5,,0,0,25,0,19,Away,15,84,W 2–0,0,41,2,0,0.7,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.2,Wolves,,2,2
Sat,Y*,76.9,0,0,0,2024-02-17,0,Matchweek 25,0.1,1,CM,2,0,0,Premier League,0,,0,0,26,0,20,Home,15,62,L 1–4,0,34,7,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Liverpool,,3,3
