dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,73.7,0,0,0,2023-08-13,0,Matchweek 1,0.0,0,CB,0,0,0,Premier League,3,0,0,19,0,14,Home,9,90,D 2–2,0,33,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Tottenham,,0,2
Sat,Y,86.0,2,0,0,2023-08-19,0,Matchweek 2,0.0,1,CB,4,1,0,Premier League,0,0,0,57,0,49,Away,40,90,W 3–0,0,70,3,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.8,Fulham,,2,2
Sat,Y,86.4,0,0,0,2023-08-26,0,Matchweek 3,0.2,1,CB,2,0,0,Premier League,1,0,0,81,0,70,Home,55,90,D 1–1,0,89,3,0,0.2,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Crystal Palace,,0,2
Sat,Y,91.0,0,0,0,2023-09-02,0,Matchweek 4,0.3,1,CB,1,0,0,Premier League,2,0,0,67,0,61,Home,27,90,D 2–2,0,78,3,1,0.3,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Bournemouth,,4,1
Sat,Y,74.2,0,0,0,2023-09-16,0,Matchweek 5,0.0,0,CB,2,0,0,Premier League,3,0,0,31,0,23,Away,18,90,L 0–1,0,49,2,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Newcastle Utd,,0,1
Sat,Y,84.9,0,0,0,2023-09-23,0,Matchweek 6,0.2,1,CB,1,0,0,Premier League,1,0,0,93,0,79,Home,68,90,L 1–3,0,106,3,0,0.2,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Everton,,2,3
Sun,Y,90.9,0,1,4,2023-10-01,0,Matchweek 7,0.1,2,"CB,LB",1,0,0,Premier League,0,0,0,88,0,80,Away,68,90,D 1–1,0,95,10,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Nott'ham Forest,,2,1
Sat,Y,77.1,0,0,0,2023-10-07,0,Matchweek 8,0.0,0,CB,3,0,0,Premier League,2,0,0,35,0,27,Away,16,90,L 1–2,0,61,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Manchester Utd,,0,3
Sat,Y,86.0,1,0,0,2023-10-21,0,Matchweek 9,0.0,0,CB,0,1,0,Premier League,1,0,0,50,0,43,Home,27,90,W 3–0,0,54,3,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Burnley,,3,1
Sat,Y,84.8,1,1,0,2023-10-28,1,Matchweek 10,0.2,1,CB,1,1,0,Premier League,2,0,0,33,0,28,Away,22,90,W 2–0,0,44,1,0,0.2,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Chelsea,,0,0
Sat,Y,79.5,1,0,2,2023-11-04,0,Matchweek 11,0.0,0,CB,0,0,0,Premier League,0,0,0,78,0,62,Home,44,90,W 3–2,0,84,5,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,West Ham,,0,1
Sun,Y,84.8,1,1,0,2023-11-12,0,Matchweek 12,0.3,2,CB,2,1,0,Premier League,1,0,0,46,0,39,Away,33,90,L 0–3,0,62,2,0,0.3,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Liverpool,,2,3
Sat,Y,69.0,0,0,0,2023-11-25,0,Matchweek 13,0.0,0,CB,2,0,0,Premier League,0,0,0,42,0,29,Home,26,90,L 0–1,0,58,2,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Arsenal,,2,2
Sat,Y,96.5,0,0,1,2023-12-02,0,Matchweek 14,0.1,1,CB,2,0,0,Premier League,1,0,0,86,0,83,Home,63,90,W 3–1,0,95,3,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Luton Town,,1,1
Wed,Y,86.4,0,0,0,2023-12-06,0,Matchweek 15,0.1,1,CB,1,0,0,Premier League,5,0,0,59,0,51,Away,40,90,L 1–2,0,74,1,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Brighton,,0,2
Sat,Y,78.4,0,0,1,2023-12-09,0,Matchweek 16,0.1,1,CB,0,0,0,Premier League,3,0,0,74,0,58,Away,50,90,L 0–1,0,86,2,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Sheffield Utd,,2,3
Sun,Y,73.9,1,0,0,2023-12-17,0,Matchweek 17,0.0,0,CB,2,1,0,Premier League,1,0,0,23,0,17,Home,13,90,L 1–2,0,34,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Aston Villa,,0,4
Wed,Y,85.3,2,0,0,2023-12-27,0,Matchweek 19,0.0,1,CB,0,1,0,Premier League,0,0,0,75,0,64,Home,39,90,L 1–4,0,83,4,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.1,Wolves,,3,1
Sat,Y,77.3,0,0,0,2023-12-30,0,Matchweek 20,0.0,0,CB,2,0,0,Premier League,1,0,0,44,0,34,Away,23,90,L 1–3,0,54,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Crystal Palace,,0,1
Sat,Y,78.0,0,0,0,2024-01-20,0,Matchweek 21,0.0,0,CB,1,0,0,Premier League,2,0,0,50,0,39,Home,26,90,W 3–2,0,61,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Nott'ham Forest,,0,1
Wed,Y,68.0,0,0,1,2024-01-31,0,Matchweek 22,0.1,1,CB,4,0,0,Premier League,1,0,0,25,0,17,Away,19,90,L 2–3,0,40,2,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Tottenham,,0,1
Mon,Y,79.2,0,0,1,2024-02-05,0,Matchweek 23,0.0,0,CB,2,0,0,Premier League,1,0,0,24,0,19,Home,17,90,L 1–3,0,35,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Manchester City,,0,0
Sat,Y,74.1,0,0,0,2024-02-10,0,Matchweek 24,0.0,1,CB,1,0,0,Premier League,1,0,0,27,0,20,Away,18,90,W 2–0,0,37,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Wolves,,0,0
Sat,N,100.0,0,0,0,2024-04-13,0,Matchweek 33,0.0,0,"CB,FW",0,0,0,Premier League,0,0,0,3,0,3,Home,1,1,W 2–0,0,4,0,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Sheffield Utd,,0,1
Sat,Y,73.3,0,1,0,2024-04-20,1,Matchweek 34,0.1,2,CB,1,0,0,Premier League,1,1,0,30,0,22,Away,20,90,W 5–1,0,45,1,0,0.1,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Luton Town,,0,1
Sat,Y,71.2,0,0,1,2024-04-27,0,Matchweek 35,0.0,1,CB,0,0,0,Premier League,1,0,0,59,0,42,Away,45,90,L 0–1,0,71,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Everton,,1,0
Sat,Y,86.4,1,0,0,2024-05-04,0,Matchweek 36,0.0,0,CB,1,0,0,Premier League,1,0,0,59,0,51,Home,43,90,D 0–0,0,73,3,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Fulham,,0,1
Sat,Y,85.7,0,0,0,2024-05-11,0,Matchweek 37,0.2,1,CB,2,0,0,Premier League,0,0,0,28,0,24,Away,20,90,W 2–1,0,40,1,0,0.2,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Bournemouth,,0,2
Sun,Y,95.7,0,0,0,2024-05-19,0,Matchweek 38,0.0,0,CB,2,0,0,Premier League,0,0,0,46,0,44,Home,32,90,L 2–4,0,53,1,0,0.0,"<a href=""/en/squads/cd051869/2023-2024/Brentford-Stats"">Brentford</a>",0.0,Newcastle Utd,,0,2
