dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,52.6,9,0,3,2023-09-02,0,Matchweek 4,0.3,4,FW,0,6,0,Premier League,3,,0,0,19,0,10,Away,22,90,D 2–2,0,40,2,1,0.3,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.2,Sheffield Utd,,9,0
Sun,Y,66.7,1,0,0,2023-09-17,0,Matchweek 5,0.0,0,FW,3,0,0,Premier League,0,,0,0,9,0,6,Home,8,65,L 0–1,0,17,0,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.1,Arsenal,,1,0
Sat,Y,55.6,0,1,1,2023-09-23,0,Matchweek 6,0.4,4,FW,2,0,0,Premier League,1,,0,0,18,0,10,Away,16,62,W 3–1,0,32,3,0,0.4,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Brentford,,3,0
Sat,N,75.0,1,0,0,2023-09-30,0,Matchweek 7,0.4,4,FW,0,1,0,Premier League,0,,0,0,4,0,3,Home,8,31,L 1–2,0,14,1,0,0.4,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Luton Town,,0,0
Sat,N,66.7,2,0,0,2023-10-07,0,Matchweek 8,0.3,1,FW,0,1,0,Premier League,0,,0,0,3,0,2,Home,4,8,W 3–0,0,5,0,0,0.3,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Bournemouth,,1,0
Sat,N,33.3,3,0,1,2023-10-21,0,Matchweek 9,0.0,1,FW,0,1,0,Premier League,2,,0,0,9,0,3,Away,8,30,L 0–2,0,16,1,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Liverpool,,2,0
Sun,N,,,,,2023-10-29,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 1–0,,,,,,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",,West Ham,,,
Sat,N,,0,0,0,2023-11-04,0,Matchweek 11,0.0,0,FW,0,0,0,Premier League,0,,0,0,0,0,0,Home,0,1,D 1–1,0,1,0,0,0.0,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Brighton,,0,0
Sat,N,40.0,0,0,0,2023-11-11,0,Matchweek 12,0.1,1,FW,0,0,0,Premier League,1,,0,0,5,0,2,Away,3,14,W 3–2,0,10,0,0,0.1,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Crystal Palace,,1,0
Sat,Y,53.8,1,0,0,2023-12-02,0,Matchweek 14,0.3,3,FW,1,0,0,Premier League,2,,0,0,13,0,7,Away,8,81,W 1–0,0,26,1,0,0.3,"<a href=""/en/squads/d3fd31cc/2023-2024/Everton-Stats"">Everton</a>",0.0,Nott'ham Forest,,2,0
