dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,xg_assist,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,date,opponent,match_report,sca,interceptions
Fri,N,,,,,,Matchweek 1,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,,Home,,,L 0–3,,,,,,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-08-11,Manchester City,,,
Sun,N,82.4,1,0,0,0,Matchweek 3,0.0,0,"WB,RM",0,1,0,Premier League,0,,0.2,0,0,34,0,28,Home,25,45,L 1–3,1,37,5,1,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-08-27,Aston Villa,,4,1
Sat,Y,65.0,2,0,2,0,Matchweek 4,0.0,0,RM,0,0,0,Premier League,1,,0.0,1,0,20,0,13,Home,15,45,L 2–5,0,28,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-09-02,Tottenham,,1,1
Mon,Y,72.0,0,0,0,0,Matchweek 5,0.0,0,RW,1,0,0,Premier League,1,,0.0,0,0,25,0,18,Away,21,62,D 1–1,0,30,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-09-18,Nott'ham Forest,,0,1
Sat,Y,93.8,0,0,0,0,Matchweek 6,0.0,0,RW,1,0,0,Premier League,0,,0.0,0,0,16,0,15,Home,9,19,L 0–1,0,17,3,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-09-23,Manchester Utd,,1,0
Sat,Y,80.6,1,0,1,0,Matchweek 10,0.0,0,RM,0,0,0,Premier League,2,,0.2,0,0,36,0,29,Away,27,80,L 1–2,0,46,2,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-10-28,Bournemouth,,1,2
Sat,Y,85.4,2,0,1,0,Matchweek 11,0.2,3,"RM,CM",0,1,0,Premier League,0,,0.3,0,0,48,0,41,Home,33,89,L 0–2,0,51,4,0,0.2,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-11-04,Crystal Palace,,7,1
Sat,Y,79.3,2,1,0,0,Matchweek 12,0.1,1,RM,0,0,0,Premier League,1,,0.1,1,0,29,0,23,Away,25,90,L 1–3,0,38,2,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-11-11,Arsenal,,2,2
Sat,Y,70.7,0,1,1,0,Matchweek 13,0.0,1,RM,1,0,0,Premier League,1,,0.2,0,0,41,0,29,Home,26,84,L 1–2,0,49,5,0,0.0,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-11-25,West Ham,,6,2
Sat,N,78.3,1,0,1,0,Matchweek 14,0.1,1,RM,0,0,0,Premier League,0,,0.3,0,0,23,0,18,Home,21,26,W 5–0,0,27,6,0,0.1,"<a href=""/en/squads/943e8050/2023-2024/Burnley-Stats"">Burnley</a>",2023-12-02,Sheffield Utd,,6,0
