dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Wed,N,88.9,0,0,0,2024-01-31,0,Matchweek 22,0.0,0,DM,0,0,0,Premier League,0,,0,0,9,0,8,Away,5,6,L 1–4,0,9,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Liverpool,,0,0
Sun,N,,,,,2024-02-04,,Matchweek 23,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 2–4,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Wolves,,,
Mon,N,,,,,2024-02-12,,Matchweek 24,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Crystal Palace,,,
Sat,N,33.3,0,0,0,2024-02-17,0,Matchweek 25,0.0,0,CM,0,0,0,Premier League,1,,0,0,3,0,1,Away,0,9,D 1–1,0,6,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.1,Manchester City,,1,0
Sat,N,,,,,2024-03-02,,Matchweek 27,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Brentford,,,
Mon,N,80.0,0,0,0,2024-03-11,0,Matchweek 28,0.0,0,RW,1,0,0,Premier League,1,,0,0,10,0,8,Home,7,5,W 3–2,0,12,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Newcastle Utd,,0,0
Sat,N,,,,,2024-03-30,,Matchweek 30,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Burnley,,,
Thu,N,,,,,2024-04-04,,Matchweek 31,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 4–3,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Manchester Utd,,,
Sun,N,,0,0,0,2024-04-07,0,Matchweek 32,0.0,0,LW,0,0,0,Premier League,0,,0,0,0,0,0,Away,0,1,D 2–2,0,0,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Sheffield Utd,,0,0
Mon,N,100.0,0,0,0,2024-04-15,0,Matchweek 33,0.0,0,RW,0,0,0,Premier League,0,,0,0,8,0,8,Home,5,11,W 6–0,0,11,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Everton,,0,0
Tue,N,100.0,2,0,0,2024-04-23,0,Matchweek 29,0.0,0,RM,0,2,0,Premier League,0,,0,0,14,0,14,Away,11,12,L 0–5,0,16,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Arsenal,,0,0
Sat,N,25.0,0,0,0,2024-04-27,0,Matchweek 35,0.0,0,LW,0,0,0,Premier League,0,,0,0,4,0,1,Away,2,1,D 2–2,0,4,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Aston Villa,,1,0
Thu,N,40.0,0,0,0,2024-05-02,0,Matchweek 26,0.0,0,LW,0,0,0,Premier League,0,,0,0,5,0,2,Home,1,16,W 2–0,0,6,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Tottenham,,0,0
Sun,N,100.0,0,0,1,2024-05-05,0,Matchweek 36,0.0,0,"LW,RW",0,0,0,Premier League,0,,0,0,7,0,7,Home,3,15,W 5–0,0,7,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,West Ham,,1,0
Sat,N,,,,,2024-05-11,,Matchweek 37,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–2,,,,,,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",,Nott'ham Forest,,,
Wed,N,,0,0,0,2024-05-15,0,Matchweek 34,0.0,0,RW,0,0,0,Premier League,0,,0,0,0,0,0,Away,0,1,W 2–1,0,1,0,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Brighton,,0,0
Sun,N,80.0,0,0,0,2024-05-19,0,Matchweek 38,0.0,0,AM,0,0,0,Premier League,3,,0,0,5,0,4,Home,2,2,W 2–1,0,9,1,0,0.0,"<a href=""/en/squads/cff3d9bb/2023-2024/Chelsea-Stats"">Chelsea</a>",0.0,Bournemouth,,1,0
