passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
2,2,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,2,0.0,N,"LW,FW",Matchweek 5,0,Sat,50.0,,0,Brentford,0,0.0,0,1,2024-09-21,3,Home,0,W 3–1,0,,0,0,Premier League,1,0,0
1,3,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,0,4,0.0,N,RW,Matchweek 6,0,Sun,100.0,,0,Manchester Utd,0,0.0,0,0,2024-09-29,15,Away,0,W 3–0,0,,0,0,Premier League,1,0,0
4,4,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,6,0.0,N,LW,Matchweek 7,0,Sun,50.0,,0,Brighton,0,0.0,0,2,2024-10-06,6,Away,1,L 2–3,0,,0,0,Premier League,2,0,0
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 8,,Sat,,"On matchday squad, but did not play",,West Ham,,,,,2024-10-19,,Home,,W 4–1,,,,,Premier League,,,
15,18,4,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,22,0.0,Y,LW,Matchweek 9,0,Sun,73.3,,0,Crystal Palace,0,0.0,5,2,2024-10-27,61,Away,0,L 0–1,3,,0,0,Premier League,11,1,0
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 10,,Sun,,"On matchday squad, but did not play",,Aston Villa,,,,,2024-11-03,,Home,,W 4–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 21,,Wed,,"On matchday squad, but did not play",,Arsenal,,,,,2025-01-15,,Away,,L 1–2,,,,,Premier League,,,
15,10,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,1,0.2,0,17,0.1,N,AM,Matchweek 22,0,Sun,66.7,,0,Everton,0,0.1,2,3,2025-01-19,18,Away,0,L 2–3,2,,0,0,Premier League,10,0,2
14,14,3,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,0,22,0.0,N,LW,Matchweek 23,0,Sun,57.1,,0,Leicester City,0,0.0,1,1,2025-01-26,37,Home,0,L 1–2,0,,0,0,Premier League,8,0,0
16,17,2,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.1,0,23,0.0,Y,RW,Matchweek 24,0,Sun,93.8,,0,Brentford,1,0.0,2,0,2025-02-02,45,Away,0,W 2–0,2,,0,0,Premier League,15,0,0
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 25,,Sun,,"On matchday squad, but did not play",,Manchester Utd,,,,,2025-02-16,,Home,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 26,,Sat,,"On matchday squad, but did not play",,Ipswich Town,,,,,2025-02-22,,Away,,W 4–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 30,,Thu,,"On matchday squad, but did not play",,Chelsea,,,,,2025-04-03,,Away,,L 0–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 32,,Sun,,"On matchday squad, but did not play",,Wolves,,,,,2025-04-13,,Away,,L 2–4,,,,,Premier League,,,
7,8,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,9,0.0,N,LW,Matchweek 35,0,Sun,57.1,,0,West Ham,0,0.0,0,0,2025-05-04,23,Away,0,D 1–1,0,,0,0,Premier League,4,0,0
12,17,2,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,18,0.0,N,"LW,RW",Matchweek 36,0,Sun,66.7,,0,Crystal Palace,1,0.0,1,2,2025-05-11,72,Home,1,L 0–2,1,,0,0,Premier League,8,0,0
10,13,3,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,19,0.0,Y,RW,Matchweek 37,0,Fri,70.0,,2,Aston Villa,0,0.0,1,1,2025-05-16,86,Away,0,L 0–2,1,,0,0,Premier League,7,0,0
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 38,,Sun,,"On matchday squad, but did not play",,Brighton,,,,,2025-05-25,,Home,,L 1–4,,,,,Premier League,,,
