passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,bench_explain,passes_pct,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 1,,Sun,"On matchday squad, but did not play",,,Manchester City,,,,,2024-08-18,,Home,,L 0–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 2,,Sun,"On matchday squad, but did not play",,,Wolves,,,,,2024-08-25,,Away,,W 6–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 4,,Sat,"On matchday squad, but did not play",,,Bournemouth,,,,,2024-09-14,,Away,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 5,,Sat,"On matchday squad, but did not play",,,West Ham,,,,,2024-09-21,,Away,,W 3–0,,,,,Premier League,,,
43,26,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,47,0.0,N,CB,Matchweek 8,0,Sun,,97.7,1,Liverpool,0,0.0,0,1,2024-10-20,38,Away,0,L 1–2,3,,0,0,Premier League,42,1,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 10,,Sun,"On matchday squad, but did not play",,,Manchester Utd,,,,,2024-11-03,,Away,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 11,,Sun,"On matchday squad, but did not play",,,Arsenal,,,,,2024-11-10,,Home,,D 1–1,,,,,Premier League,,,
103,66,1,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,110,0.0,Y,CB,Matchweek 12,0,Sat,,89.3,0,Leicester City,1,0.0,0,2,2024-11-23,90,Away,0,W 2–1,9,,0,0,Premier League,92,4,0
17,8,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,21,0.0,N,CB,Matchweek 13,0,Sun,,100.0,1,Aston Villa,1,0.0,0,0,2024-12-01,31,Home,0,W 3–0,0,,0,0,Premier League,17,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 14,,Wed,"On matchday squad, but did not play",,,Southampton,,,,,2024-12-04,,Away,,W 5–1,,,,,Premier League,,,
60,40,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,67,0.0,Y,CB,Matchweek 15,0,Sun,,81.7,4,Tottenham,0,0.0,0,0,2024-12-08,90,Away,0,W 4–3,4,,0,0,Premier League,49,1,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 28,,Sun,"On matchday squad, but did not play",,,Leicester City,,,,,2025-03-09,,Home,,W 1–0,,,,,Premier League,,,
81,37,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,91,0.0,Y,CB,Matchweek 29,0,Sun,,90.1,3,Arsenal,0,0.0,0,0,2025-03-16,85,Away,0,L 0–1,1,,0,0,Premier League,73,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 30,,Thu,"On matchday squad, but did not play",,,Tottenham,,,,,2025-04-03,,Home,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 31,,Sun,"On matchday squad, but did not play",,,Brentford,,,,,2025-04-06,,Away,,D 0–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 32,,Sun,"On matchday squad, but did not play",,,Ipswich Town,,,,,2025-04-13,,Home,,D 2–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 33,,Sun,"On matchday squad, but did not play",,,Fulham,,,,,2025-04-20,,Away,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 34,,Sat,"On matchday squad, but did not play",,,Everton,,,,,2025-04-26,,Home,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 35,,Sun,"On matchday squad, but did not play",,,Liverpool,,,,,2025-05-04,,Home,,W 3–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 36,,Sun,"On matchday squad, but did not play",,,Newcastle Utd,,,,,2025-05-11,,Away,,L 0–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 37,,Fri,"On matchday squad, but did not play",,,Manchester Utd,,,,,2025-05-16,,Home,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 38,,Sun,"On matchday squad, but did not play",,,Nott'ham Forest,,,,,2025-05-25,,Away,,W 1–0,,,,,Premier League,,,
