passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
39,23,0,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,56,0.0,Y,CB,Matchweek 2,0,Sun,71.8,,3,Newcastle Utd,3,0.0,2,0,2024-08-25,90,Home,0,D 1–1,3,,0,1,Premier League,28,1,0
54,39,1,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,64,0.0,Y,CB,Matchweek 3,0,Sat,70.4,,3,Everton,1,0.0,2,1,2024-08-31,76,Away,1,W 3–2,3,,0,0,Premier League,38,1,0
39,26,1,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,51,0.0,Y,CB,Matchweek 4,0,Sat,66.7,,3,Chelsea,2,0.0,3,0,2024-09-14,90,Home,0,L 0–1,3,,0,1,Premier League,26,1,0
,,,,,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",,,,,,,N,,Matchweek 5,,Sat,,"On matchday squad, but did not play",,Liverpool,,,,,2024-09-21,,Away,,L 0–3,,,,,Premier League,,,
61,51,3,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,78,0.0,Y,CB,Matchweek 6,0,Mon,77.0,,5,Southampton,2,0.0,0,1,2024-09-30,90,Home,2,W 3–1,6,,0,0,Premier League,47,3,0
60,44,0,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",1,0,0.1,0,75,0.1,Y,CB,Matchweek 7,0,Sat,88.3,,3,Leicester City,2,0.1,1,2,2024-10-05,90,Away,0,L 0–1,8,,0,1,Premier League,53,1,0
63,42,0,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,75,0.0,Y,CB,Matchweek 8,0,Sat,76.2,,4,Arsenal,1,0.0,2,3,2024-10-19,90,Home,0,W 2–0,4,,0,0,Premier League,48,1,0
68,52,1,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,74,0.0,Y,CB,Matchweek 9,0,Sat,76.5,,3,Aston Villa,1,0.0,1,1,2024-10-26,90,Away,1,D 1–1,8,,0,0,Premier League,52,1,0
57,42,1,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,66,0.0,Y,CB,Matchweek 10,0,Sat,84.2,,3,Manchester City,1,0.0,2,1,2024-11-02,90,Home,1,W 2–1,4,,0,0,Premier League,48,0,0
43,37,0,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",1,0,0.0,0,51,0.7,Y,CB,Matchweek 11,0,Sat,67.4,,2,Brentford,0,0.7,1,1,2024-11-09,66,Away,0,L 2–3,2,,0,1,Premier League,29,1,0
52,44,1,0,0,"<a href=""/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"">Bournemouth</a>",0,0,0.0,0,57,0.0,Y,CB,Matchweek 12,0,Sat,75.0,,2,Brighton,0,0.0,1,1,2024-11-23,64,Home,0,L 1–2,3,,0,0,Premier League,39,0,0
