passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
39,28,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,42,0.0,Y,GK,Matchweek 1,0,Sun,84.6,,0,Chelsea,0,0.0,0,0,2024-08-18,90,Away,0,W 2–0,0,,0,0,Premier League,33,0,0
24,17,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,25,0.0,Y,GK,Matchweek 2,0,Sat,100.0,,0,Ipswich Town,0,0.0,0,0,2024-08-24,90,Home,0,W 4–1,0,,0,0,Premier League,24,0,0
38,19,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,41,0.0,Y,GK,Matchweek 3,0,Sat,86.8,,0,West Ham,0,0.0,0,0,2024-08-31,90,Away,0,W 3–1,0,,0,0,Premier League,33,0,0
44,25,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,1,0.4,0,51,0.0,Y,GK,Matchweek 4,0,Sat,75.0,,0,Brentford,0,0.0,1,0,2024-09-14,90,Home,0,W 2–1,0,,0,0,Premier League,33,1,1
27,22,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,28,0.0,Y,GK,Matchweek 5,0,Sun,85.2,,0,Arsenal,0,0.0,2,0,2024-09-22,90,Home,0,D 2–2,1,,0,1,Premier League,23,0,0
49,40,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,52,0.0,Y,GK,Matchweek 6,0,Sat,77.6,,0,Newcastle Utd,0,0.0,0,0,2024-09-28,90,Away,0,D 1–1,0,,0,1,Premier League,38,0,0
29,20,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,31,0.0,Y,GK,Matchweek 7,0,Sat,89.7,,0,Fulham,0,0.0,0,0,2024-10-05,90,Home,0,W 3–2,0,,0,1,Premier League,26,0,0
15,9,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,17,0.0,Y,GK,Matchweek 8,0,Sun,100.0,,0,Wolves,0,0.0,0,0,2024-10-20,90,Away,0,W 2–1,0,,0,0,Premier League,15,0,0
23,17,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,23,0.0,Y,GK,Matchweek 9,0,Sat,87.0,,0,Southampton,0,0.0,0,0,2024-10-26,90,Home,0,W 1–0,0,,0,0,Premier League,20,0,0
55,41,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,59,0.0,Y,GK,Matchweek 10,0,Sat,89.1,,0,Bournemouth,0,0.0,0,0,2024-11-02,90,Away,0,L 1–2,0,,0,0,Premier League,49,0,0
