passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,bench_explain,passes_pct,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
1,1,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",1,0,0.0,0,2,0.1,N,FW,Matchweek 4,0,Sat,,100.0,0,Ipswich Town,0,0.1,0,0,2024-09-14,6,Home,0,D 0–0,0,,0,0,Premier League,1,0,0
0,0,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",1,0,0.0,0,1,0.0,N,LW,Matchweek 5,0,Sun,,,0,Nott'ham Forest,0,0.0,0,0,2024-09-22,9,Home,0,D 2–2,0,,0,0,Premier League,0,0,0
4,2,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,4,0.0,N,FW,Matchweek 6,0,Sat,,75.0,0,Chelsea,0,0.0,0,0,2024-09-28,10,Away,0,L 2–4,1,,0,0,Premier League,3,0,0
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 7,,Sun,"On matchday squad, but did not play",,,Tottenham,,,,,2024-10-06,,Home,,W 3–2,,,,,Premier League,,,
16,11,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,23,0.0,Y,FW,Matchweek 8,0,Sat,,56.3,1,Newcastle Utd,1,0.0,0,0,2024-10-19,59,Away,0,W 1–0,0,,0,0,Premier League,9,0,0
2,4,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",1,0,0.0,1,5,0.1,N,FW,Matchweek 9,1,Sat,,100.0,0,Wolves,1,0.1,0,1,2024-10-26,18,Home,0,D 2–2,0,,0,0,Premier League,2,0,0
0,0,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,0,0.0,N,FW,Matchweek 10,0,Sat,,,0,Liverpool,0,0.0,0,0,2024-11-02,3,Away,0,L 1–2,0,,0,0,Premier League,0,0,0
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 11,,Sat,"On matchday squad, but did not play",,,Manchester City,,,,,2024-11-09,,Home,,W 2–1,,,,,Premier League,,,
3,2,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,7,0.0,N,FW,Matchweek 12,0,Sat,,66.7,2,Bournemouth,0,0.0,0,0,2024-11-23,5,Away,0,W 2–1,0,,0,0,Premier League,2,0,0
4,3,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,5,0.0,N,FW,Matchweek 13,0,Fri,,50.0,0,Southampton,0,0.0,0,1,2024-11-29,12,Home,0,D 1–1,0,,0,0,Premier League,2,0,0
