passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
58,43,1,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,68,0.0,Y,CB,Matchweek 1,0,Sat,82.8,,4,West Ham,2,0.0,1,3,2024-08-17,90,Away,1,W 2–1,3,,0,0,Premier League,48,0,0
45,30,0,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,49,0.0,Y,CB,Matchweek 2,0,Sat,80.0,,1,Arsenal,0,0.0,0,0,2024-08-24,90,Home,0,L 0–2,2,,0,0,Premier League,36,0,0
49,28,2,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,54,0.0,Y,CB,Matchweek 3,0,Sat,83.7,,0,Leicester City,0,0.0,0,0,2024-08-31,90,Away,2,W 2–1,2,,0,0,Premier League,41,1,0
122,100,0,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,129,0.0,Y,CB,Matchweek 4,0,Sat,87.7,,0,Everton,2,0.0,2,5,2024-09-14,90,Home,0,W 3–2,5,,0,0,Premier League,107,2,1
56,46,1,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,61,0.0,Y,CB,Matchweek 5,0,Sat,89.3,,0,Wolves,0,0.0,0,4,2024-09-21,90,Home,1,W 3–1,5,,0,1,Premier League,50,0,0
77,66,1,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,79,0.0,Y,CB,Matchweek 6,0,Sun,88.3,,1,Ipswich Town,1,0.0,1,3,2024-09-29,90,Away,1,D 2–2,0,,0,0,Premier League,68,0,0
62,51,0,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,65,0.0,Y,CB,Matchweek 7,0,Sun,85.5,,0,Manchester Utd,0,0.0,3,3,2024-10-06,90,Home,0,D 0–0,6,,0,0,Premier League,53,0,0
49,31,1,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",1,0,0.0,0,55,0.1,Y,CB,Matchweek 8,0,Sat,87.8,,1,Fulham,0,0.1,1,2,2024-10-19,90,Away,1,W 3–1,5,,0,0,Premier League,43,1,1
37,26,0,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",2,0,0.0,1,44,0.1,Y,CB,Matchweek 9,0,Sat,91.9,,0,Bournemouth,0,0.1,0,0,2024-10-26,90,Home,0,D 1–1,5,,0,0,Premier League,34,0,0
50,32,4,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,55,0.0,Y,CB,Matchweek 10,0,Sun,82.0,,1,Tottenham,2,0.0,0,1,2024-11-03,90,Away,4,L 1–4,3,,0,0,Premier League,41,0,0
45,24,2,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,53,0.0,Y,CB,Matchweek 11,0,Sat,91.1,,2,Liverpool,1,0.0,0,0,2024-11-09,90,Away,1,L 0–2,4,,0,0,Premier League,41,0,0
93,61,1,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",0,0,0.0,0,96,0.0,Y,CB,Matchweek 12,0,Sat,91.4,,2,Crystal Palace,0,0.0,0,2,2024-11-23,90,Home,1,D 2–2,10,,0,0,Premier League,85,0,0
73,41,0,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",1,0,0.0,0,77,0.1,Y,CB,Matchweek 13,0,Sun,90.4,,1,Chelsea,1,0.1,1,2,2024-12-01,90,Away,0,L 0–3,4,,0,0,Premier League,66,2,0
,,,,,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",,,,,,,N,,Matchweek 14,,Wed,,"On matchday squad, but did not play",,Brentford,,,,,2024-12-04,,Home,,W 3–1,,,,,Premier League,,,
49,30,1,0,0,"<a href=""/en/squads/8602292d/2024-2025/Aston-Villa-Stats"">Aston Villa</a>",1,0,0.0,0,54,0.0,Y,CB,Matchweek 15,0,Sat,93.9,,2,Southampton,0,0.0,0,0,2024-12-07,90,Home,1,W 1–0,2,,0,0,Premier League,46,0,0
