passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
,,,,,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",,,,,,,N,,Matchweek 1,,Sun,,"On matchday squad, but did not play",,Chelsea,,,,,2024-08-18,,Away,,W 2–0,,,,,Premier League,,,
22,14,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,27,0.0,N,DM,Matchweek 2,0,Sat,90.9,,1,Ipswich Town,1,0.0,1,1,2024-08-24,41,Home,0,W 4–1,0,,0,0,Premier League,20,1,0
,,,,,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",,,,,,,N,,Matchweek 3,,Sat,,"On matchday squad, but did not play",,West Ham,,,,,2024-08-31,,Away,,W 3–1,,,,,Premier League,,,
47,25,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,50,0.0,Y,CB,Matchweek 4,0,Sat,87.2,,0,Brentford,0,0.0,3,0,2024-09-14,83,Home,0,W 2–1,2,,0,1,Premier League,41,0,1
1,1,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",1,0,0.0,1,2,0.2,N,DM,Matchweek 5,1,Sun,100.0,,0,Arsenal,0,0.2,0,1,2024-09-22,13,Home,0,D 2–2,0,,0,0,Premier League,1,0,0
,,,,,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",,,,,,,N,,Matchweek 6,,Sat,,"On matchday squad, but did not play",,Newcastle Utd,,,,,2024-09-28,,Away,,D 1–1,,,,,Premier League,,,
4,2,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,7,0.0,N,CB,Matchweek 7,0,Sat,75.0,,1,Fulham,0,0.0,0,0,2024-10-05,13,Home,0,W 3–2,0,,0,0,Premier League,3,0,0
92,64,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",1,0,0.0,1,97,0.3,Y,CB,Matchweek 8,1,Sun,85.9,,1,Wolves,1,0.3,1,6,2024-10-20,90,Away,0,W 2–1,8,,0,0,Premier League,79,0,0
0,0,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,0,0.0,N,"CB,RB",Matchweek 9,0,Sat,,,0,Southampton,0,0.0,0,0,2024-10-26,1,Home,0,W 1–0,0,,0,0,Premier League,0,0,0
31,26,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,37,0.0,Y,CB,Matchweek 12,0,Sat,90.3,,2,Tottenham,0,0.0,0,0,2024-11-23,45,Home,0,L 0–4,1,,0,0,Premier League,28,2,0
,,,,,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",,,,,,,N,,Matchweek 16,,Sun,,"On matchday squad, but did not play",,Manchester Utd,,,,,2024-12-15,,Home,,L 1–2,,,,,Premier League,,,
59,44,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.1,0,59,0.0,Y,CB,Matchweek 17,0,Sat,100.0,,0,Aston Villa,0,0.0,2,0,2024-12-21,45,Away,0,L 1–2,7,,0,0,Premier League,59,0,0
25,22,0,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,27,0.0,N,CB,Matchweek 23,0,Sat,88.0,,0,Chelsea,0,0.0,1,0,2025-01-25,37,Home,0,W 3–1,2,,0,0,Premier League,22,0,1
73,55,1,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,78,0.0,Y,CB,Matchweek 24,0,Sun,93.2,,0,Arsenal,2,0.0,0,2,2025-02-02,90,Away,1,L 1–5,0,,0,0,Premier League,68,0,0
49,39,1,0,0,"<a href=""/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"">Manchester City</a>",0,0,0.0,0,58,0.0,Y,CB,Matchweek 25,0,Sat,93.9,,1,Newcastle Utd,1,0.0,0,0,2025-02-15,90,Home,1,W 4–0,1,,0,0,Premier League,46,1,0
