passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
10,9,1,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,11,0.0,N,"RM,LB",Matchweek 4,0,Sun,40.0,,1,Newcastle Utd,0,0.0,1,0,2024-09-15,5,Home,1,L 1–2,1,,0,0,Premier League,4,0,0
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 5,,Sat,,"On matchday squad, but did not play",,Aston Villa,,,,,2024-09-21,,Away,,L 1–3,,,,,Premier League,,,
10,9,2,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",1,0,0.0,0,14,0.1,N,RM,Matchweek 6,0,Sat,50.0,,0,Liverpool,0,0.1,0,2,2024-09-28,39,Home,1,L 1–2,1,,0,1,Premier League,5,0,0
20,17,1,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,27,0.0,Y,RM,Matchweek 7,0,Sat,80.0,,4,Brentford,1,0.0,3,2,2024-10-05,67,Away,1,L 3–5,4,,0,1,Premier League,16,0,1
6,4,0,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,9,0.0,N,FW,Matchweek 8,0,Sun,66.7,,1,Manchester City,1,0.0,0,1,2024-10-20,24,Home,0,L 1–2,0,,0,0,Premier League,4,0,0
17,13,3,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,21,0.0,N,LM,Matchweek 9,0,Sat,64.7,,0,Brighton,1,0.0,0,3,2024-10-26,44,Away,2,D 2–2,1,,0,0,Premier League,11,0,0
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 10,,Sat,,"On matchday squad, but did not play",,Crystal Palace,,,,,2024-11-02,,Home,,D 2–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 11,,Sat,,"On matchday squad, but did not play",,Southampton,,,,,2024-11-09,,Home,,W 2–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 12,,Sat,,"On matchday squad, but did not play",,Fulham,,,,,2024-11-23,,Away,,W 4–1,,,,,Premier League,,,
8,6,2,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,13,0.0,N,LW,Matchweek 13,0,Sat,62.5,,0,Bournemouth,0,0.0,0,0,2024-11-30,27,Home,0,L 2–4,0,,0,0,Premier League,5,1,0
