passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,bench_explain,passes_pct,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
13,14,1,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",2,0,0.0,1,17,0.3,N,"RM,FW",Matchweek 2,1,Sun,,76.9,0,Wolves,1,0.3,0,3,2024-08-25,23,Away,1,W 6–2,1,,0,0,Premier League,10,0,0
13,10,5,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",1,0,0.0,1,20,0.0,N,"LM,LW",Matchweek 3,0,Sun,,92.3,0,Crystal Palace,0,0.0,2,1,2024-09-01,33,Home,2,D 1–1,2,,0,0,Premier League,12,0,0
21,18,1,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,25,0.0,N,AM,Matchweek 4,0,Sat,,76.2,0,Bournemouth,0,0.0,1,2,2024-09-14,29,Away,0,W 1–0,2,,0,1,Premier League,16,0,0
15,16,4,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",2,0,0.0,0,23,0.2,N,AM,Matchweek 5,0,Sat,,80.0,1,West Ham,0,0.2,0,1,2024-09-21,27,Away,0,W 3–0,3,,0,0,Premier League,12,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 6,,Sat,"On matchday squad, but did not play",,,Brighton,,,,,2024-09-28,,Home,,W 4–2,,,,,Premier League,,,
10,8,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",2,0,0.0,0,14,0.2,N,LM,Matchweek 7,0,Sun,,90.0,1,Nott'ham Forest,0,0.2,1,0,2024-10-06,10,Home,0,D 1–1,0,,0,0,Premier League,9,1,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 8,,Sun,"On matchday squad, but did not play",,,Liverpool,,,,,2024-10-20,,Away,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 9,,Sun,"On matchday squad, but did not play",,,Newcastle Utd,,,,,2024-10-27,,Home,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 10,,Sun,"On matchday squad, but did not play",,,Manchester Utd,,,,,2024-11-03,,Away,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 11,,Sun,"On matchday squad, but did not play",,,Arsenal,,,,,2024-11-10,,Home,,D 1–1,,,,,Premier League,,,
