passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
97,61,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,0,102,0.1,Y,CB,Matchweek 1,0,Mon,91.8,,1,Leicester City,0,0.1,1,0,2024-08-19,90,Away,0,D 1–1,9,,0,0,Premier League,89,0,0
98,81,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",3,0,0.2,2,115,0.5,Y,CB,Matchweek 2,1,Sat,92.9,,6,Everton,2,0.5,2,0,2024-08-24,90,Home,0,W 4–0,5,,0,0,Premier League,91,0,0
54,34,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,60,0.0,Y,CB,Matchweek 3,0,Sun,87.0,,2,Newcastle Utd,2,0.0,0,1,2024-09-01,90,Away,0,L 1–2,4,,0,0,Premier League,47,0,0
73,64,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,1,84,0.0,Y,CB,Matchweek 4,0,Sun,95.9,,2,Arsenal,3,0.0,1,1,2024-09-15,90,Home,0,L 0–1,3,,0,0,Premier League,70,1,0
55,37,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,1,65,0.1,Y,CB,Matchweek 5,0,Sat,85.5,,0,Brentford,0,0.1,2,1,2024-09-21,90,Home,0,W 3–1,7,,0,0,Premier League,47,3,1
120,98,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,0,130,0.1,Y*,CB,Matchweek 6,0,Sun,89.2,,1,Manchester Utd,4,0.1,1,0,2024-09-29,90,Away,0,W 3–0,1,,0,0,Premier League,107,2,1
98,78,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",2,0,0.1,0,108,0.2,Y*,CB,Matchweek 7,0,Sun,95.9,,2,Brighton,1,0.2,3,1,2024-10-06,90,Away,0,L 2–3,2,,0,0,Premier League,94,1,0
80,59,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,85,0.0,Y,CB,Matchweek 8,0,Sat,85.0,,4,West Ham,0,0.0,0,3,2024-10-19,90,Home,0,W 4–1,4,,0,0,Premier League,68,0,0
77,51,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.1,0,93,0.1,Y*,CB,Matchweek 9,0,Sun,87.0,,6,Crystal Palace,1,0.1,2,0,2024-10-27,90,Away,0,L 0–1,2,,0,0,Premier League,67,2,0
40,28,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,44,0.0,Y,CB,Matchweek 10,0,Sun,95.0,,1,Aston Villa,0,0.0,2,0,2024-11-03,60,Home,1,W 4–1,5,,0,1,Premier League,38,4,0
84,63,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.1,0,90,0.1,Y,CB,Matchweek 11,0,Sun,85.7,,0,Ipswich Town,0,0.1,2,3,2024-11-10,90,Home,0,L 1–2,6,,0,0,Premier League,72,0,0
4,2,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,5,0.0,Y,CB,Matchweek 15,0,Sun,75.0,,2,Chelsea,0,0.0,0,0,2024-12-08,14,Home,0,L 3–4,0,,0,0,Premier League,3,0,0
51,29,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,1,53,0.0,Y*,CB,Matchweek 28,0,Sun,74.5,,0,Bournemouth,0,0.0,0,0,2025-03-09,60,Home,0,D 2–2,5,,0,0,Premier League,38,0,0
48,35,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,58,0.0,Y*,CB,Matchweek 29,0,Sun,85.4,,2,Fulham,2,0.0,0,0,2025-03-16,67,Away,0,L 0–2,3,,0,0,Premier League,41,2,0
60,39,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,70,0.0,Y,CB,Matchweek 30,0,Thu,86.7,,2,Chelsea,1,0.0,0,1,2025-04-03,90,Away,0,L 0–1,1,,0,1,Premier League,52,2,0
