passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,bench_explain,passes_pct,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 2,,Sat,"On matchday squad, but did not play",,,Manchester Utd,,,,,2024-08-24,,Home,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 3,,Sat,"On matchday squad, but did not play",,,Arsenal,,,,,2024-08-31,,Away,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 4,,Sat,"On matchday squad, but did not play",,,Ipswich Town,,,,,2024-09-14,,Home,,D 0–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 5,,Sun,"On matchday squad, but did not play",,,Nott'ham Forest,,,,,2024-09-22,,Home,,D 2–2,,,,,Premier League,,,
37,31,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,38,0.0,N,CB,Matchweek 6,0,Sat,,97.3,1,Chelsea,0,0.0,0,1,2024-09-28,34,Away,0,L 2–4,5,,0,0,Premier League,36,0,0
58,35,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,63,0.0,N,CB,Matchweek 7,0,Sun,,94.8,0,Tottenham,4,0.0,1,1,2024-10-06,82,Home,0,W 3–2,5,,0,1,Premier League,55,0,0
36,23,1,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",1,0,0.0,0,49,0.0,Y,CB,Matchweek 8,0,Sat,,83.3,0,Newcastle Utd,2,0.0,0,1,2024-10-19,90,Away,0,W 1–0,0,,0,0,Premier League,30,0,0
78,62,2,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,89,0.0,Y,CB,Matchweek 9,0,Sat,,92.3,0,Wolves,3,0.0,0,2,2024-10-26,90,Home,2,D 2–2,5,,0,1,Premier League,72,0,0
64,33,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,70,0.0,Y,CB,Matchweek 10,0,Sat,,93.8,0,Liverpool,3,0.0,0,2,2024-11-02,90,Away,0,L 1–2,5,,0,0,Premier League,60,1,0
79,61,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,87,0.0,Y,CB,Matchweek 11,0,Sat,,92.4,0,Manchester City,0,0.0,1,0,2024-11-09,90,Home,0,W 2–1,0,,0,1,Premier League,73,1,0
54,42,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,65,0.0,Y,CB,Matchweek 12,0,Sat,,85.2,1,Bournemouth,2,0.0,0,0,2024-11-23,90,Away,0,W 2–1,2,,0,0,Premier League,46,0,0
78,55,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.2,0,86,0.0,Y,CB,Matchweek 13,0,Fri,,92.3,0,Southampton,4,0.0,3,0,2024-11-29,90,Home,0,D 1–1,8,,0,0,Premier League,72,0,0
73,58,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,79,0.0,Y,CB,Matchweek 14,0,Thu,,94.5,1,Fulham,1,0.0,4,2,2024-12-05,90,Away,0,L 1–3,6,,0,0,Premier League,69,0,0
3,2,1,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,4,0.0,N,CB,Matchweek 15,0,Sun,,66.7,0,Leicester City,0,0.0,0,0,2024-12-08,2,Away,1,D 2–2,0,,0,0,Premier League,2,0,0
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 16,,Sun,"On matchday squad, but did not play",,,Crystal Palace,,,,,2024-12-15,,Home,,L 1–3,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 17,,Sat,"On matchday squad, but did not play",,,West Ham,,,,,2024-12-21,,Away,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 18,,Fri,"On matchday squad, but did not play",,,Brentford,,,,,2024-12-27,,Home,,D 0–0,,,,,Premier League,,,
43,27,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,51,0.0,Y,LB,Matchweek 19,0,Mon,,88.4,1,Aston Villa,3,0.0,0,0,2024-12-30,90,Away,0,D 2–2,2,,0,1,Premier League,38,0,0
79,68,0,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,83,0.0,Y,CB,Matchweek 20,0,Sat,,94.9,0,Arsenal,1,0.0,2,0,2025-01-04,65,Home,0,D 1–1,6,,0,0,Premier League,75,2,0
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 35,,Sun,"On matchday squad, but did not play",,,Newcastle Utd,,,,,2025-05-04,,Home,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 36,,Sat,"On matchday squad, but did not play",,,Wolves,,,,,2025-05-10,,Away,,W 2–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",,,,,,,N,,Matchweek 37,,Mon,"On matchday squad, but did not play",,,Liverpool,,,,,2025-05-19,,Home,,W 3–2,,,,,Premier League,,,
48,33,2,0,0,"<a href=""/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0,0,0.0,0,52,0.0,Y,LB,Matchweek 38,0,Sun,,89.6,1,Tottenham,1,0.0,3,0,2025-05-25,58,Away,2,W 4–1,5,,0,0,Premier League,43,0,0
