passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,bench_explain,passes_pct,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 1,,Mon,"On matchday squad, but did not play",,,Tottenham,,,,,2024-08-19,,Home,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 2,,Sat,"On matchday squad, but did not play",,,Fulham,,,,,2024-08-24,,Away,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 4,,Sat,"On matchday squad, but did not play",,,Crystal Palace,,,,,2024-09-14,,Away,,D 2–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 5,,Sat,"On matchday squad, but did not play",,,Everton,,,,,2024-09-21,,Home,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 6,,Sat,"On matchday squad, but did not play",,,Arsenal,,,,,2024-09-28,,Away,,L 2–4,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 7,,Sat,"On matchday squad, but did not play",,,Bournemouth,,,,,2024-10-05,,Home,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 8,,Sat,"On matchday squad, but did not play",,,Southampton,,,,,2024-10-19,,Away,,W 3–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 9,,Fri,"On matchday squad, but did not play",,,Nott'ham Forest,,,,,2024-10-25,,Home,,L 1–3,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 10,,Sat,"On matchday squad, but did not play",,,Ipswich Town,,,,,2024-11-02,,Away,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 11,,Sun,"On matchday squad, but did not play",,,Manchester Utd,,,,,2024-11-10,,Away,,L 0–3,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 12,,Sat,"On matchday squad, but did not play",,,Chelsea,,,,,2024-11-23,,Home,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 13,,Sat,"On matchday squad, but did not play",,,Brentford,,,,,2024-11-30,,Away,,L 1–4,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 14,,Tue,"On matchday squad, but did not play",,,West Ham,,,,,2024-12-03,,Home,,W 3–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 15,,Sun,"On matchday squad, but did not play",,,Brighton,,,,,2024-12-08,,Home,,D 2–2,,,,,Premier League,,,
23,17,0,0,0,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",0,0,0.0,0,24,0.0,N,GK,Matchweek 16,0,Sat,,65.2,0,Newcastle Utd,0,0.0,0,0,2024-12-14,45,Away,0,L 0–4,0,,0,0,Premier League,15,0,0
30,27,1,0,0,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",0,0,0.0,0,31,0.0,Y,GK,Matchweek 17,0,Sun,,86.7,0,Wolves,0,0.0,0,0,2024-12-22,90,Home,0,L 0–3,0,,0,0,Premier League,26,0,0
