passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
4,2,1,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,5,0.0,N,FW,Matchweek 1,0,Sun,75.0,,0,Manchester City,0,0.0,0,0,2024-08-18,24,Home,0,L 0–2,0,,0,0,Premier League,3,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 2,,Sun,,"On matchday squad, but did not play",,Wolves,,,,,2024-08-25,,Away,,W 6–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 4,,Sat,,"On matchday squad, but did not play",,Bournemouth,,,,,2024-09-14,,Away,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 16,,Sun,,"On matchday squad, but did not play",,Brentford,,,,,2024-12-15,,Home,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 17,,Sun,,"On matchday squad, but did not play",,Everton,,,,,2024-12-22,,Away,,D 0–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 18,,Thu,,"On matchday squad, but did not play",,Fulham,,,,,2024-12-26,,Home,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 19,,Mon,,"On matchday squad, but did not play",,Ipswich Town,,,,,2024-12-30,,Away,,L 0–2,,,,,Premier League,,,
4,1,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,4,0.0,N,FW,Matchweek 20,0,Sat,25.0,,0,Crystal Palace,0,0.0,0,0,2025-01-04,10,Away,0,D 1–1,0,,0,0,Premier League,1,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 21,,Tue,,"On matchday squad, but did not play",,Bournemouth,,,,,2025-01-14,,Home,,D 2–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 22,,Mon,,"On matchday squad, but did not play",,Wolves,,,,,2025-01-20,,Home,,W 3–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 23,,Sat,,"On matchday squad, but did not play",,Manchester City,,,,,2025-01-25,,Away,,L 1–3,,,,,Premier League,,,
8,9,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,13,0.0,N,FW,Matchweek 24,0,Mon,87.5,,1,West Ham,0,0.0,1,0,2025-02-03,39,Home,0,W 2–1,0,,0,0,Premier League,7,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 38,,Sun,,"On matchday squad, but did not play",,Nott'ham Forest,,,,,2025-05-25,,Away,,W 1–0,,,,,Premier League,,,
