passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
5,1,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,0,7,0.2,N,LM,Matchweek 1,0,Mon,60.0,,0,Leicester City,0,0.2,0,0,2024-08-19,1,Away,0,D 1–1,0,,0,0,Premier League,3,0,0
8,6,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,11,0.0,N,FW,Matchweek 2,0,Sat,75.0,,0,Everton,0,0.0,0,1,2024-08-24,24,Home,1,W 4–0,1,,0,0,Premier League,6,0,0
4,5,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,4,0.0,N,FW,Matchweek 8,0,Sat,50.0,,0,West Ham,0,0.0,1,0,2024-10-19,10,Home,0,W 4–1,2,,0,0,Premier League,2,0,0
7,7,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,12,0.0,N,FW,Matchweek 9,0,Sun,71.4,,1,Crystal Palace,0,0.0,0,0,2024-10-27,29,Away,0,L 0–1,2,,0,1,Premier League,5,0,0
10,9,3,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,1,0.8,0,13,0.0,N,LW,Matchweek 10,0,Sun,70.0,,0,Aston Villa,0,0.0,2,3,2024-11-03,26,Home,0,W 4–1,0,,0,0,Premier League,7,0,1
9,7,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.1,0,12,0.0,N,LW,Matchweek 21,0,Wed,88.9,,0,Arsenal,0,0.0,2,2,2025-01-15,13,Away,0,L 1–2,2,,0,0,Premier League,8,0,0
7,3,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",3,0,0.0,2,14,0.4,N,FW,Matchweek 22,1,Sun,42.9,,0,Everton,0,0.4,1,0,2025-01-19,45,Away,0,L 2–3,0,,0,0,Premier League,3,0,0
6,5,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,1,11,0.5,Y,FW,Matchweek 23,1,Sun,66.7,,0,Leicester City,0,0.5,0,0,2025-01-26,53,Home,0,L 1–2,1,,0,0,Premier League,4,0,0
19,13,2,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",1,0,0.0,0,32,0.1,Y,FW,Matchweek 24,0,Sun,57.9,,3,Brentford,1,0.1,2,2,2025-02-02,78,Away,0,W 2–0,2,,0,0,Premier League,11,0,0
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 31,,Sun,,"On matchday squad, but did not play",,Southampton,,,,,2025-04-06,,Home,,W 3–1,,,,,Premier League,,,
3,3,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",2,0,0.0,1,6,0.9,N,FW,Matchweek 32,1,Sun,66.7,,0,Wolves,0,0.9,0,0,2025-04-13,16,Away,0,L 2–4,0,,0,0,Premier League,2,0,0
6,10,4,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",7,0,0.0,3,20,1.5,Y,FW,Matchweek 33,1,Mon,50.0,,0,Nott'ham Forest,0,1.5,0,0,2025-04-21,90,Home,0,L 1–2,0,,0,0,Premier League,3,0,0
2,3,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,2,0.0,N,FW,Matchweek 34,0,Sun,100.0,,0,Liverpool,0,0.0,0,0,2025-04-27,23,Away,0,L 1–5,0,,0,1,Premier League,2,0,0
9,15,2,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",2,0,0.0,0,17,0.1,Y,FW,Matchweek 35,0,Sun,44.4,,0,West Ham,0,0.1,0,0,2025-05-04,67,Away,0,D 1–1,1,,0,0,Premier League,4,0,0
,,,,,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",,,,,,,N,,Matchweek 36,,Sun,,"On matchday squad, but did not play",,Crystal Palace,,,,,2025-05-11,,Home,,L 0–2,,,,,Premier League,,,
3,1,0,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,4,0.0,N,FW,Matchweek 37,0,Fri,0.0,,0,Aston Villa,0,0.0,0,0,2025-05-16,4,Away,0,L 0–2,0,,0,0,Premier League,0,0,0
5,1,1,0,0,"<a href=""/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"">Tottenham</a>",0,0,0.0,0,8,0.0,N,FW,Matchweek 38,0,Sun,40.0,,1,Brighton,0,0.0,0,0,2025-05-25,25,Home,0,L 1–4,0,,0,0,Premier League,2,0,0
