passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
9,4,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,10,0.0,N,LB,Matchweek 1,0,Sun,88.9,,0,Manchester City,1,0.0,0,1,2024-08-18,11,Home,0,L 0–2,0,,0,0,Premier League,8,0,0
15,15,1,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,18,0.0,N,LB,Matchweek 2,0,Sun,100.0,,0,Wolves,1,0.0,0,1,2024-08-25,8,Away,1,W 6–2,1,,0,0,Premier League,15,1,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 3,,Sun,,"On matchday squad, but did not play",,Crystal Palace,,,,,2024-09-01,,Home,,D 1–1,,,,,Premier League,,,
59,35,2,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",2,0,0.0,1,69,0.0,Y,DM,Matchweek 4,0,Sat,89.8,,3,Bournemouth,1,0.0,1,2,2024-09-14,90,Away,2,W 1–0,4,,0,1,Premier League,53,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 5,,Sat,,"On matchday squad, but did not play",,West Ham,,,,,2024-09-21,,Away,,W 3–0,,,,,Premier League,,,
17,7,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,23,0.0,N,LB,Matchweek 6,0,Sat,76.5,,5,Brighton,0,0.0,0,0,2024-09-28,21,Home,0,W 4–2,0,,0,0,Premier League,13,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 7,,Sun,,"On matchday squad, but did not play",,Nott'ham Forest,,,,,2024-10-06,,Home,,D 1–1,,,,,Premier League,,,
30,17,2,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",1,0,0.0,0,36,0.1,N,LB,Matchweek 8,0,Sun,73.3,,0,Liverpool,0,0.1,0,0,2024-10-20,38,Away,0,L 1–2,2,,0,1,Premier League,22,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 9,,Sun,,"On matchday squad, but did not play",,Newcastle Utd,,,,,2024-10-27,,Home,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 10,,Sun,,"On matchday squad, but did not play",,Manchester Utd,,,,,2024-11-03,,Away,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 11,,Sun,,"On matchday squad, but did not play",,Arsenal,,,,,2024-11-10,,Home,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 12,,Sat,,"On matchday squad, but did not play",,Leicester City,,,,,2024-11-23,,Away,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 13,,Sun,,"On matchday squad, but did not play",,Aston Villa,,,,,2024-12-01,,Home,,W 3–0,,,,,Premier League,,,
7,6,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,9,0.0,N,LB,Matchweek 14,0,Wed,100.0,,1,Southampton,0,0.0,0,0,2024-12-04,12,Away,0,W 5–1,0,,0,0,Premier League,7,0,0
2,1,0,0,0,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",0,0,0.0,0,2,0.0,N,LB,Matchweek 15,0,Sun,0.0,,0,Tottenham,0,0.0,0,0,2024-12-08,1,Away,0,W 4–3,0,,0,0,Premier League,0,0,0
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 16,,Sun,,"On matchday squad, but did not play",,Brentford,,,,,2024-12-15,,Home,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 17,,Sun,,"On matchday squad, but did not play",,Everton,,,,,2024-12-22,,Away,,D 0–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 19,,Mon,,"On matchday squad, but did not play",,Ipswich Town,,,,,2024-12-30,,Away,,L 0–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 20,,Sat,,"On matchday squad, but did not play",,Crystal Palace,,,,,2025-01-04,,Away,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"">Chelsea</a>",,,,,,,N,,Matchweek 21,,Tue,,"On matchday squad, but did not play",,Bournemouth,,,,,2025-01-14,,Home,,D 2–2,,,,,Premier League,,,
